year,mileage,rough_scale,torque_scale,stop_scale,cv_wellness,wb_wellness,brk_wellness
2008,163323,0.38,0.68,0.52,39.04,48.58,17.49
2002,4453,0.43,0.23,0.05,94.5,95.07,90.99
2005,249458,0.36,0.44,0.56,21.55,28.81,5.0
2014,208579,0.88,0.21,0.94,31.89,34.93,8.38
2016,108489,0.2,0.27,0.86,70.25,66.8,38.21
2002,170399,0.21,0.53,0.76,50.6,57.22,16.24
2004,57139,0.72,0.72,0.13,87.54,77.88,63.59
2014,118281,0.07,0.43,0.57,64.28,56.91,50.16
2018,99723,0.72,0.62,0.72,61.15,67.46,43.22
2024,139623,0.42,0.47,0.91,45.21,69.77,26.66
2006,213044,0.71,0.45,0.41,30.9,29.4,9.51
2009,222644,0.67,0.85,0.9,35.11,44.45,5.0
2015,240887,0.5,0.57,0.7,23.98,37.94,5.0
2015,230360,0.4,0.56,0.36,29.23,29.82,5.0
2016,215951,0.61,0.45,0.17,31.78,35.54,11.48
2005,49292,0.77,0.29,0.21,69.68,82.85,78.17
2002,121061,0.87,0.61,0.87,53.36,66.52,34.95
2022,89729,0.19,0.43,0.18,64.27,83.38,60.28
2008,22251,0.87,0.18,0.83,95.02,86.95,73.15
2000,5960,0.24,0.82,0.34,86.04,95.23,99.94
2010,189001,0.82,0.19,0.14,37.86,43.86,30.61
2002,236335,0.6,0.04,0.52,31.12,31.4,5.0
2021,136679,0.94,0.49,0.15,57.91,44.77,41.36
2018,52987,0.68,0.75,0.64,76.96,82.69,65.97
2005,122720,0.3,0.13,0.33,61.65,57.77,37.27
2024,83037,0.7,0.42,0.53,64.88,59.89,54.35
2010,144421,0.84,0.22,0.29,45.9,50.39,44.33
2000,43844,0.1,0.34,0.22,84.01,80.41,80.16
2019,82292,0.79,0.34,0.75,70.99,60.99,48.93
2021,5114,1.0,0.85,0.67,78.79,84.43,89.51
2000,227279,0.85,0.46,0.55,38.5,35.47,5.0
2011,247099,0.45,0.26,0.47,27.95,28.29,5.0
2019,66589,0.23,0.73,0.64,70.31,79.31,57.89
2011,239329,0.6,0.56,0.91,17.46,30.34,5.0
2004,9674,0.5,0.92,0.4,77.24,91.31,86.66
2016,48201,0.58,0.08,0.8,88.44,77.6,67.37
2002,135037,0.63,0.31,0.33,48.44,48.73,36.55
2011,188572,0.14,0.12,0.34,42.1,47.42,14.29
2014,199472,0.96,0.73,0.23,28.24,40.49,16.06
2000,196982,0.32,0.98,0.45,32.33,43.57,8.63
2011,116515,0.95,0.38,0.52,69.62,68.72,40.37
2002,115848,0.73,0.7,0.11,49.67,64.24,50.18
2000,244904,0.4,0.97,0.84,14.31,29.31,5.0
2007,203194,0.99,0.15,0.2,46.14,30.62,10.55
2006,212857,0.39,0.37,0.98,39.54,40.86,5.0
2003,118502,0.15,0.83,0.46,54.06,66.99,42.72
2017,2794,0.7,0.22,0.82,100.0,86.6,83.28
2008,90267,0.93,0.44,0.27,73.4,66.67,54.0
2015,160356,0.16,0.13,0.9,55.36,58.36,12.74
2012,56527,0.59,0.62,0.23,73.01,72.1,75.25
2013,148907,0.51,0.51,0.21,54.01,60.49,40.66
2022,66086,0.16,0.11,0.73,80.76,75.75,52.15
2010,143580,0.04,0.7,0.19,50.61,66.41,43.3
2003,113415,0.2,0.84,0.41,53.23,76.25,52.7
2018,138462,0.69,0.23,0.04,56.91,58.33,43.65
2011,105354,0.54,0.87,0.78,55.6,67.49,43.62
2018,93468,0.1,0.79,0.19,64.08,77.35,56.96
2018,237779,0.81,0.74,0.37,14.09,30.0,5.0
2020,87768,0.88,0.7,0.34,63.83,72.58,46.69
2015,241948,0.61,0.05,0.25,29.71,26.38,5.0
2015,69542,0.68,0.81,0.82,64.26,72.05,69.88
2006,5032,0.7,0.25,0.79,92.79,86.27,76.51
2000,8549,0.91,0.42,0.23,90.66,85.45,91.09
2001,111304,0.46,0.91,0.44,62.23,56.51,40.21
2008,69319,0.6,0.56,0.53,70.91,69.37,63.15
2009,134692,0.57,0.17,0.41,61.21,43.39,33.13
2008,206976,0.47,0.25,0.65,42.34,32.8,5.0
2000,134239,0.05,0.01,0.27,68.0,65.57,35.12
2015,98127,0.36,0.38,0.02,52.89,72.58,63.93
2022,162111,0.01,0.26,0.49,52.32,55.88,25.02
2017,220436,0.99,0.42,0.92,27.69,30.46,5.0
2011,176458,0.37,0.17,0.59,45.3,44.89,16.69
2000,218458,0.15,0.64,0.21,30.74,47.99,20.34
2024,108526,0.7,0.86,0.18,60.56,67.55,46.05
2005,167612,0.83,0.1,0.59,48.66,45.52,19.92
2000,238142,0.46,0.95,0.79,15.63,33.29,5.0
2012,21254,0.92,0.63,0.42,89.84,78.57,85.21
2016,162841,0.91,0.93,0.89,34.25,47.04,28.2
2003,187963,0.95,0.8,0.6,40.16,40.51,12.8
2015,7374,0.52,0.39,0.93,99.69,95.77,80.65
2012,199897,0.52,0.19,0.36,42.89,40.34,7.25
2021,89304,0.31,0.84,0.01,58.58,78.24,52.58
2006,219238,0.62,0.9,0.64,22.37,42.49,5.75
2005,5614,0.29,0.49,0.94,87.16,100.0,66.34
2014,230398,0.37,0.83,0.95,29.88,48.69,5.0
2006,72369,0.82,0.13,0.07,77.92,69.29,66.23
2013,50673,0.88,0.04,0.64,84.38,81.04,61.57
2019,42391,0.59,0.56,0.57,81.93,73.55,72.23
2024,198371,0.42,0.76,0.48,37.25,41.78,5.78
2009,88548,0.12,0.7,0.8,53.86,74.68,44.12
2007,243660,0.44,0.09,0.43,22.45,37.69,5.0
2018,18668,0.05,0.17,0.53,99.18,88.97,79.86
2013,131940,0.83,0.13,0.7,53.3,59.07,34.51
2016,88238,0.18,0.12,0.29,73.59,72.36,63.85
2010,163819,0.7,0.48,0.4,31.02,51.14,19.82
2002,31379,0.25,0.81,0.81,72.1,93.8,68.02
2020,97439,0.63,0.34,0.41,55.99,73.77,44.21
2020,98392,0.19,0.39,0.27,59.55,73.34,54.89
2022,245005,0.99,0.03,0.97,24.55,23.84,5.0
2017,247132,0.62,0.92,0.47,17.46,33.22,5.0
2008,110528,0.6,0.91,0.04,51.89,61.99,58.27
2011,191494,0.37,0.61,0.09,43.36,32.06,19.88
2018,192615,0.82,0.89,0.39,34.06,44.65,10.79
2015,133392,0.25,0.3,0.34,51.74,61.96,48.9
2010,168607,0.32,0.06,0.25,45.72,54.48,23.81
2010,236840,0.53,0.59,0.08,24.15,46.78,5.0
2003,54571,0.9,0.32,0.12,84.95,66.57,73.86
2023,156379,0.37,0.51,1.0,50.94,54.04,15.32
2011,2350,0.15,0.83,0.86,81.95,90.35,87.85
2017,88637,0.73,0.46,0.42,64.24,67.17,58.89
2012,205491,0.22,0.36,0.05,36.32,39.42,13.72
2015,117159,0.67,0.96,0.03,54.01,60.18,48.05
2003,26761,0.3,0.05,0.22,92.66,88.19,91.25
2011,187572,0.35,0.07,0.79,50.28,45.33,5.0
2020,229530,0.8,0.25,0.17,27.89,34.06,5.0
2005,186167,0.5,0.45,0.95,38.94,49.5,5.0
2008,133775,0.92,0.19,0.53,55.88,52.68,37.25
2017,122416,0.67,0.42,0.85,58.36,57.48,37.55
2021,202449,0.93,0.79,0.3,33.42,40.27,13.61
2009,116174,0.65,0.53,0.45,57.22,60.58,34.98
2006,123548,0.38,0.62,0.4,53.7,58.89,43.16
2001,222701,0.97,0.08,0.36,35.14,30.32,5.0
2011,65159,0.66,0.79,0.9,59.98,86.69,51.28
2003,184043,0.63,0.76,0.17,31.02,45.2,26.85
2014,198144,0.49,0.86,0.17,24.99,48.43,7.29
2002,169129,0.35,0.0,0.75,52.24,56.5,19.42
2009,231975,0.77,0.05,0.89,32.24,33.92,5.0
2003,247830,0.45,0.24,0.08,27.59,31.35,5.07
2003,142181,0.2,0.72,0.82,55.71,64.52,30.58
2019,102370,0.21,0.06,0.85,75.02,70.43,45.67
2017,211799,0.41,0.76,0.95,26.51,43.35,5.0
2002,186989,0.59,0.53,0.85,39.38,48.46,8.3
2006,8397,0.29,0.96,0.44,84.48,97.35,83.65
2022,73647,0.12,0.69,0.77,76.06,76.75,65.62
2017,106348,0.81,0.33,0.55,58.08,69.17,46.38
2021,67415,0.09,0.76,0.68,62.33,79.34,53.69
2007,115787,0.57,0.65,0.25,62.29,60.17,52.77
2011,51529,0.18,0.02,0.69,70.66,82.28,64.84
2001,172224,0.66,0.18,0.9,45.6,49.25,7.07
2017,6529,0.67,0.42,0.08,92.49,83.1,87.39
2010,58239,0.83,0.32,0.11,75.55,69.25,74.95
2002,197623,0.31,0.98,0.34,27.45,42.94,18.85
2017,87358,0.93,0.92,0.43,68.49,67.9,58.02
2004,196922,0.1,0.5,0.83,33.49,46.86,10.57
2016,187143,0.74,0.49,0.01,35.27,34.95,22.94
2012,230170,0.09,0.61,0.72,22.45,42.82,5.0
2022,15188,0.05,0.08,0.89,100.0,93.54,67.55
2003,159178,0.29,0.77,0.87,38.95,56.97,31.2
2022,5684,0.48,0.76,0.71,82.84,90.37,92.16
2009,64961,0.41,0.1,0.31,69.52,71.24,68.66
2007,221013,0.1,0.45,0.22,32.61,48.01,9.26
2010,209545,0.44,0.1,0.19,35.43,52.18,10.85
2017,53443,0.22,0.22,0.14,80.14,77.57,80.77
2019,151434,0.93,0.16,0.82,47.99,47.85,19.46
2007,74626,0.55,0.29,0.46,72.97,76.92,58.68
2022,207409,0.2,0.4,0.1,36.13,41.25,15.69
2018,43918,0.18,0.74,0.4,80.45,84.67,69.89
2011,228915,0.26,0.57,0.26,24.91,31.4,5.0
2007,109375,0.52,0.39,0.16,62.1,70.72,50.31
2004,224153,0.5,0.37,0.19,36.18,37.83,5.0
2008,15872,0.59,0.74,0.25,83.26,86.29,88.14
2005,74313,0.48,0.72,0.38,67.16,74.23,64.09
2011,167131,0.76,0.66,0.99,45.28,51.46,16.37
2015,177205,0.14,0.69,0.05,36.31,49.45,30.4
2016,146628,0.4,0.66,0.02,49.93,61.92,37.85
2006,216111,0.14,0.51,0.63,24.48,44.17,5.0
2015,25901,0.19,0.37,0.19,86.51,89.38,77.78
2024,247066,0.02,0.97,0.17,10.45,36.95,5.0
2011,54126,0.21,0.66,0.18,74.23,83.43,78.92
2021,38309,0.78,0.1,0.06,89.9,73.49,97.21
2022,70003,0.04,0.51,0.6,70.75,85.98,66.94
2021,178744,0.77,0.45,0.86,37.3,40.99,10.74
2003,63795,0.1,0.66,0.9,77.02,85.7,53.28
2016,182591,0.71,0.99,0.43,30.48,50.62,15.55
2002,129499,0.73,0.07,0.42,61.88,55.62,38.17
2014,230462,0.63,0.71,0.9,25.1,38.02,5.0
2024,62584,0.07,0.77,0.01,77.0,88.61,73.58
2013,72789,0.39,0.88,0.05,67.74,70.47,66.79
2022,187236,0.6,0.89,0.11,28.85,44.57,27.78
2009,77861,0.43,0.69,0.46,73.1,68.01,60.1
2007,100569,0.26,0.69,0.57,54.16,66.32,38.7
2002,155777,0.28,0.03,0.68,51.69,58.99,24.85
2021,61381,0.53,0.44,0.23,86.55,71.8,64.88
2014,59886,0.29,0.87,0.11,70.21,78.93,74.84
2016,210242,0.72,0.68,0.73,20.57,42.21,5.69
2018,237640,0.66,0.33,0.33,31.77,28.59,5.0
2005,175414,0.91,0.9,0.22,32.55,37.36,31.85
2015,181455,0.62,0.35,0.03,40.23,46.23,29.51
2009,46597,0.03,0.69,0.19,66.12,86.28,71.41
2021,131228,0.5,0.05,1.0,64.53,68.85,29.15
2000,201953,0.58,0.52,0.57,35.41,35.36,9.89
2014,213735,0.04,0.6,0.0,27.54,41.22,15.44
2017,112107,0.0,0.51,0.5,68.58,70.38,55.97
2003,239456,0.32,0.48,0.57,27.96,40.82,5.0
2016,202453,0.8,0.64,0.02,37.47,40.22,17.47
2016,99404,0.99,0.9,0.24,54.78,63.76,53.73
2005,5873,0.26,0.24,0.24,98.5,98.27,94.68
2017,243713,0.84,0.88,0.05,12.93,17.89,5.0
2013,219407,0.91,0.95,0.11,25.44,35.0,13.92
2015,188337,0.55,0.73,0.92,35.11,52.43,10.92
2003,186293,0.23,0.81,0.01,23.38,53.44,13.02
2015,195577,0.42,0.88,0.61,36.17,49.46,10.25
2007,21892,1.0,0.16,0.41,87.99,75.84,72.39
2003,118756,0.82,0.92,0.99,45.75,53.78,38.29
2002,84081,0.38,0.02,0.09,74.06,77.12,60.02
2002,33305,0.16,0.53,0.99,90.5,87.78,59.6
2006,212134,0.2,0.77,0.05,23.34,46.82,17.03
2011,151411,0.24,0.45,0.74,52.26,50.57,33.08
2000,249888,0.22,0.96,0.56,16.27,31.68,5.0
2021,214927,0.39,0.52,0.66,26.1,41.68,5.0
2021,221499,0.04,0.18,0.23,36.8,38.2,5.0
2013,66926,0.27,0.22,0.95,77.96,91.61,56.26
2004,74900,0.11,0.06,0.49,78.29,84.64,54.96
2018,105682,0.43,0.95,0.87,66.74,78.41,46.66
2021,58584,0.11,0.23,0.17,72.2,84.04,66.4
2019,249279,0.79,0.5,0.56,21.97,15.72,5.0
2013,140716,0.94,0.73,0.97,54.68,46.89,27.95
2019,230815,0.75,0.14,0.39,27.26,29.58,6.1
2015,244409,0.33,0.08,0.48,36.21,36.79,5.0
2007,158862,0.87,0.69,0.06,47.78,50.45,37.41
2007,177035,0.24,0.47,0.19,35.31,62.03,31.16
2019,54413,0.37,0.95,0.97,60.78,76.73,50.86
2008,86870,0.43,0.76,0.42,64.6,71.65,58.03
2006,232374,0.63,0.74,0.5,22.36,35.39,5.0
2016,143805,0.34,0.95,0.28,40.29,61.24,36.64
2001,119514,0.83,0.1,0.75,68.51,53.77,33.76
2018,98658,0.19,0.23,0.81,68.34,69.62,47.98
2009,24533,0.5,0.04,0.42,95.44,83.88,84.71
2007,80235,0.34,0.66,0.82,62.54,81.64,46.27
2017,240906,0.26,0.72,0.09,24.27,35.1,5.0
2008,24701,0.59,0.72,0.48,73.25,87.54,79.71
2014,111295,0.67,0.89,0.39,58.05,60.11,49.91
2014,243977,0.95,0.64,0.77,27.13,26.33,5.0
2009,102200,0.09,0.46,0.22,61.35,77.54,55.57
2016,153915,0.47,0.05,0.49,57.2,62.27,29.0
2016,204117,0.45,0.21,0.04,35.45,42.6,16.38
2024,7509,0.9,0.76,0.51,84.74,87.64,81.34
2012,157363,0.45,0.24,0.28,50.72,62.81,26.94
2020,103660,0.59,0.78,0.91,62.88,62.25,36.25
2021,46932,0.21,0.4,0.19,85.31,88.59,76.95
2001,121003,0.96,0.83,0.21,50.8,51.5,47.87
2008,125188,0.9,0.77,0.27,50.88,57.23,38.16
2004,117710,0.22,0.64,0.71,56.19,61.81,48.97
2019,167502,0.95,0.39,0.22,45.76,33.42,30.69
2000,202722,0.21,0.92,0.97,17.93,45.48,5.0
2021,219602,0.51,0.33,0.15,29.02,37.68,15.22
2019,55501,0.37,0.34,0.8,82.78,75.74,60.0
2003,238776,0.98,0.05,0.08,27.28,27.29,5.0
2018,13854,0.62,0.5,0.46,93.4,100.0,84.38
2010,163044,0.19,0.05,0.19,50.23,60.93,30.89
2015,168012,0.72,0.19,0.63,48.84,50.93,16.11
2009,175476,0.54,0.8,0.64,39.01,42.98,20.7
2017,128243,0.08,0.99,0.82,47.64,64.54,33.44
2008,190720,0.01,0.29,0.01,32.82,50.63,23.96
2024,219959,0.33,0.91,0.09,26.72,44.12,9.62
2013,67535,0.47,0.42,0.09,75.04,75.96,69.57
2012,124980,0.69,0.24,0.83,58.56,62.97,31.13
2005,238178,0.61,0.75,0.22,16.68,39.09,6.34
2005,212851,0.5,0.08,0.91,40.54,32.47,5.0
2007,197044,0.36,0.57,0.03,40.8,42.61,17.92
2004,25898,0.9,0.7,0.52,86.24,90.43,88.11
2006,176108,0.74,0.4,0.45,53.08,47.68,18.73
2019,244288,0.1,0.46,0.76,21.46,50.37,5.0
2000,182567,0.78,0.67,0.97,35.54,35.82,6.37
2001,200153,0.38,0.9,0.41,30.58,38.93,19.07
2024,236022,0.22,0.91,0.8,18.93,39.66,5.0
2015,203077,0.98,0.92,0.82,27.74,29.89,6.85
2004,106918,0.96,0.87,0.45,57.22,54.03,45.82
2020,14101,0.46,0.92,0.23,85.46,91.36,91.12
2016,200208,0.86,0.94,0.34,32.31,45.15,23.34
2007,87332,0.17,0.62,0.18,80.39,73.83,56.71
2006,96741,0.33,0.55,0.65,76.43,64.97,45.12
2021,130257,0.85,0.32,0.38,59.56,50.96,42.85
2005,146009,0.67,0.9,0.1,44.33,50.71,40.58
2014,178411,0.14,0.79,0.07,33.97,54.85,32.28
2019,61885,0.36,0.95,0.39,67.37,79.5,64.0
2016,226870,0.41,0.49,0.29,29.97,33.13,8.09
2018,133386,0.24,0.06,0.82,45.09,50.8,29.47
2021,102854,0.37,0.76,0.86,61.51,66.73,41.93
2008,201882,0.88,0.64,0.45,26.65,37.07,11.65
2000,131670,0.77,0.31,0.74,55.38,51.8,33.85
2014,86077,0.28,0.85,0.79,70.04,81.35,53.57
2016,72631,0.48,0.42,0.77,70.5,69.24,50.59
2006,129402,0.03,0.58,0.67,56.27,58.48,35.89
2001,115355,0.7,0.66,0.63,47.02,67.56,36.45
2005,38215,0.28,0.65,0.5,80.01,83.19,78.4
2024,219626,0.67,0.05,0.78,44.23,40.48,5.0
2008,128681,0.29,1.0,0.71,59.48,74.33,43.53
2005,155374,0.69,0.05,0.81,58.16,57.38,32.56
2005,66354,0.74,0.14,0.95,80.42,75.93,52.66
2012,227467,0.92,0.05,0.89,39.59,26.06,5.0
2008,217000,0.26,0.24,0.73,34.16,43.92,5.0
2003,125267,0.08,0.03,0.66,67.41,66.37,36.25
2021,29637,0.84,0.22,0.9,89.99,83.63,65.06
2017,154934,0.9,0.63,0.35,49.06,41.71,34.46
2015,177406,0.34,0.72,0.18,34.26,51.32,22.73
2012,149240,0.54,0.4,0.28,53.16,46.96,38.96
2013,152996,0.21,0.86,0.6,40.31,57.62,30.05
2019,6102,0.99,0.2,0.38,98.03,89.95,94.88
2023,49105,0.4,0.86,0.17,76.3,80.48,68.9
2023,165296,0.8,0.32,0.45,55.96,47.13,25.69
2022,152561,0.13,0.34,0.13,59.1,58.18,44.35
2005,126692,0.56,0.91,0.53,46.52,61.2,40.29
2020,109068,0.1,0.16,0.3,71.95,69.76,49.11
2001,117884,0.33,0.32,0.13,66.2,62.96,57.48
2022,151138,0.55,0.48,0.89,48.85,50.96,22.92
2021,173416,0.21,0.31,0.62,43.15,56.16,21.67
2000,69568,0.06,0.84,0.66,74.0,91.15,61.43
2005,245898,0.64,0.43,0.57,29.35,36.0,5.0
2011,132994,0.4,0.89,0.24,44.24,64.41,46.43
2001,175578,0.29,0.8,0.01,44.86,50.49,25.96
2022,73188,0.92,0.47,0.63,77.46,71.7,52.54
2021,217668,0.34,0.93,0.41,25.29,45.99,10.27
2021,160221,0.43,0.11,0.59,55.69,50.96,16.58
2004,64665,0.35,0.26,0.6,73.16,82.47,55.7
2024,200219,0.0,0.98,0.84,30.59,59.58,7.63
2000,150367,0.52,0.11,0.4,53.31,44.54,33.07
2016,5668,0.69,0.67,0.97,85.48,81.36,73.64
2008,159602,0.13,0.41,0.18,48.47,51.61,22.78
2007,5860,0.9,0.96,0.89,85.43,83.28,81.47
2013,47873,0.38,0.85,0.82,76.53,80.07,66.81
2004,213723,0.87,0.37,0.86,33.84,31.18,5.0
2010,195033,0.76,0.88,0.28,33.45,38.61,9.62
2006,135007,0.85,0.18,0.21,59.28,63.18,48.49
2004,197813,0.07,0.38,0.79,38.64,59.47,5.76
2003,80885,0.7,0.17,0.28,70.56,68.77,66.93
2018,71857,0.59,0.16,0.73,75.14,75.25,54.13
2015,135060,0.54,0.32,0.02,67.68,69.84,47.68
2020,19765,0.15,0.79,0.37,80.85,95.65,88.51
2005,36440,0.87,0.44,0.61,85.36,77.71,76.09
2017,218582,0.76,0.9,0.68,27.45,38.62,5.0
2012,27169,0.02,0.16,0.2,100.0,78.08,84.46
2008,13107,0.32,0.06,0.37,100.0,93.27,87.91
2011,81374,0.75,0.68,0.36,65.41,67.33,64.0
2001,168836,0.23,0.18,0.41,53.39,59.0,18.19
2020,185081,0.79,0.63,0.28,29.12,44.44,16.29
2020,31350,0.54,0.3,0.07,91.52,81.54,87.75
2003,70950,0.61,0.15,0.78,70.25,66.32,59.21
2023,15062,0.02,0.81,0.68,93.95,91.46,80.54
2020,141459,0.54,0.74,0.47,51.03,60.33,32.28
2007,40092,0.41,0.87,0.99,73.76,89.44,70.01
2005,201256,0.23,0.88,0.69,34.09,51.06,6.52
2004,69750,0.22,0.14,0.56,77.09,79.18,58.28
2011,123793,0.25,0.74,0.85,58.92,71.38,35.05
2018,215327,0.07,0.13,0.18,34.91,45.5,9.35
2002,99667,0.98,0.55,0.9,64.79,60.65,37.34
2021,88575,0.7,0.25,0.12,67.45,67.2,54.94
2014,136957,0.95,0.99,0.78,49.41,49.83,28.69
2001,216702,0.6,0.8,0.35,27.61,35.33,5.0
2017,193485,0.87,0.71,0.78,36.02,39.85,5.0
2017,44883,0.98,0.3,0.67,81.2,82.24,68.88
2023,93162,0.34,0.86,0.7,56.71,75.64,54.51
2011,2680,0.3,0.69,0.99,82.9,86.75,86.32
2010,35425,0.23,0.97,0.23,76.59,85.97,82.03
2021,189059,0.83,0.27,0.03,36.47,37.5,18.87
2008,85256,0.69,0.29,0.66,66.26,66.09,56.13
2003,113359,0.79,0.51,0.85,63.96,70.39,28.28
2022,60724,0.82,0.67,0.34,77.21,73.24,69.75
2005,134737,0.76,0.6,0.8,48.29,48.51,30.34
2012,67984,0.53,0.13,0.15,82.31,70.29,77.28
2011,247364,0.78,0.59,0.35,18.17,31.8,5.0
2023,238084,0.32,0.43,0.3,21.3,46.58,5.0
2011,123709,0.7,0.14,0.99,63.75,54.09,34.77
2011,142674,0.87,0.38,0.05,55.89,45.05,35.08
2018,113002,0.38,0.54,0.15,61.28,67.41,49.68
2011,86160,0.95,0.56,0.79,71.55,67.45,43.67
2020,145189,0.36,0.61,0.1,49.28,57.42,41.75
2006,67212,0.53,0.15,0.55,68.03,80.52,54.05
2021,180584,0.26,0.07,0.2,56.91,54.22,17.41
2007,25063,0.82,0.51,0.28,82.64,85.05,85.18
2000,182740,0.08,0.11,0.73,50.63,48.65,10.35
2008,10733,0.89,0.5,0.94,88.34,90.88,75.5
2000,185854,0.06,0.04,0.62,56.7,48.65,18.58
2000,70216,0.23,0.32,0.56,80.27,84.36,65.07
2021,102356,0.48,0.86,0.2,54.21,61.56,50.87
2000,94078,0.26,0.53,0.61,75.13,67.75,44.68
2019,40189,0.68,0.45,0.18,79.57,80.98,83.58
2002,42337,0.63,0.4,0.65,77.85,81.25,75.22
2002,94383,0.94,0.94,0.19,53.36,65.74,60.78
2022,181202,0.99,0.45,0.92,52.88,38.21,5.0
2009,21255,0.05,0.73,0.16,81.04,91.63,92.41
2011,19932,0.75,0.92,0.23,76.9,82.33,95.67
2023,1152,0.71,0.68,0.96,88.51,83.94,77.36
2007,183910,0.39,0.28,0.25,44.05,44.75,22.79
2022,54340,0.69,0.16,0.9,89.39,91.52,58.38
2020,29262,0.32,0.34,0.35,80.52,83.2,84.49
2010,208456,0.15,0.44,0.5,31.05,50.24,6.92
2002,10245,0.74,0.48,0.94,78.56,82.72,80.96
2021,162605,0.49,0.7,0.21,36.44,54.82,22.61
2024,40262,0.34,0.98,0.35,76.44,86.82,67.73
2020,232571,0.95,0.82,0.03,20.76,12.55,6.5
2003,76034,0.95,0.14,0.14,75.85,62.4,73.13
2012,158256,0.75,0.75,0.05,39.25,53.09,35.4
2003,152388,0.56,0.25,0.55,47.23,49.72,30.02
2019,92955,0.55,0.02,0.92,74.0,74.16,57.24
2016,239592,0.39,0.68,0.59,21.69,32.54,5.0
2014,235252,0.09,1.0,0.18,14.4,50.96,5.0
2014,188711,0.76,0.56,0.73,39.15,42.24,5.0
2022,201301,0.34,0.77,0.86,19.71,46.86,5.0
2005,32489,0.75,0.94,0.81,73.89,77.61,67.49
2014,160904,1.0,0.32,0.53,54.47,39.46,21.96
2023,171296,0.32,0.37,0.62,47.59,55.99,20.31
2013,211198,0.66,0.33,0.13,30.4,42.38,10.15
2022,182776,0.75,0.55,0.16,40.23,47.59,26.35
2021,143918,0.22,0.97,0.72,39.05,58.97,26.98
2007,56343,0.09,0.73,0.04,72.13,82.92,74.61
2016,144369,0.05,0.61,0.37,54.34,60.2,34.4
2018,168554,0.5,0.72,0.01,37.22,55.45,37.19
2018,36212,0.04,0.83,0.69,75.37,92.14,60.28
2009,55996,0.58,0.46,0.42,71.62,79.11,70.98
2019,124011,0.17,0.08,0.3,67.18,64.81,48.0
2013,71683,0.25,0.27,0.52,71.98,75.86,54.76
2001,199679,0.2,0.18,0.16,33.21,41.03,9.18
2018,26715,0.78,0.49,0.35,89.62,80.71,85.75
2008,240154,0.99,0.92,0.27,16.56,24.48,5.0
2016,100712,0.39,0.34,0.24,62.2,67.81,65.91
2002,98692,0.19,0.79,0.97,63.91,64.24,45.43
2006,120070,0.2,0.72,0.94,50.5,72.3,31.61
2004,119119,0.75,0.99,0.84,42.7,51.91,31.02
2003,67678,0.96,0.15,0.79,72.27,65.97,58.55
2015,15310,0.84,0.51,0.87,90.16,79.64,82.44
2012,55227,0.18,0.84,0.01,68.02,86.35,78.45
2016,195698,0.31,0.84,0.81,39.68,54.88,5.97
2022,28581,0.32,0.41,0.58,83.63,87.68,66.1
2004,91038,0.94,0.95,0.12,62.1,64.18,69.57
2005,145587,0.4,0.9,0.83,47.85,65.53,24.66
2016,15677,0.35,0.41,0.63,89.92,92.79,82.29
2019,30845,0.6,0.94,0.53,85.42,87.38,69.69
2005,22823,0.74,0.55,0.34,94.06,82.38,82.65
2011,123654,0.21,0.64,0.03,58.9,62.04,51.02
2008,34720,0.32,0.47,0.42,82.53,86.44,79.6
2004,86307,0.71,0.84,0.51,51.98,61.25,58.05
2011,57021,0.17,0.66,0.72,66.1,81.17,58.65
2016,145887,0.39,0.7,0.36,45.68,50.62,31.04
2004,130727,0.88,0.29,0.6,61.6,50.1,36.56
2016,157197,0.59,0.63,0.08,53.58,48.61,36.94
2003,159143,0.47,0.88,0.72,46.14,53.15,22.72
2019,35813,0.47,0.32,0.32,86.96,84.23,69.56
2011,158885,0.85,0.18,0.7,53.8,55.3,28.14
2021,209957,0.95,0.31,0.19,37.88,33.47,10.61
2023,200912,0.82,0.16,0.66,28.27,40.68,12.7
2019,121398,0.67,0.92,0.26,54.03,57.46,46.79
2014,158118,0.01,0.76,0.44,42.89,64.93,23.54
2017,190478,0.13,0.07,0.18,47.06,56.82,22.59
2019,140901,0.9,0.68,0.83,53.58,58.1,26.67
2001,110587,0.86,0.9,0.86,56.01,54.34,37.26
2022,32749,0.47,0.98,0.63,78.81,87.57,71.07
2016,3214,0.44,0.36,0.48,86.95,95.15,76.44
2018,126615,0.38,0.21,0.33,53.96,57.81,47.25
2024,196710,0.21,0.76,0.51,29.4,50.85,19.85
2018,162680,0.52,0.25,0.88,51.1,53.4,10.19
2021,104502,0.48,0.32,0.43,69.42,65.12,48.3
2000,83308,0.47,0.08,0.94,72.97,70.5,47.1
2007,4309,0.37,0.59,0.71,95.31,91.44,82.45
2019,12903,0.8,0.29,0.94,96.62,91.12,70.61
2007,72452,0.38,0.51,0.45,66.65,85.25,57.99
2015,98715,0.81,0.83,0.11,63.65,58.16,65.41
2011,61755,0.04,0.52,0.08,77.21,77.95,74.52
2019,22277,0.31,0.89,0.81,87.8,89.2,73.63
2018,143361,0.19,0.45,0.89,55.81,61.8,22.39
2022,155914,0.1,0.82,0.84,37.71,59.82,14.42
2019,131931,0.84,0.05,0.79,58.45,51.63,24.79
2016,224402,0.21,0.54,0.75,21.25,49.78,5.0
2024,63815,0.25,0.9,0.67,78.32,76.7,53.27
2002,94079,0.49,0.03,0.3,73.19,71.86,57.48
