year,mileage,temp_scale,habit_scale,idle_scale,bat_wellness,alt_wellness,sta_wellness
2003,32190,0.54,0.95,0.9,5.0,71.96,26.76
2013,107431,0.26,0.44,0.16,34.26,55.31,57.58
2011,223592,0.18,0.12,0.83,5.15,27.68,59.19
2018,171776,0.38,0.4,0.38,36.43,53.13,66.03
2020,144206,0.88,0.42,0.2,45.87,49.12,71.13
2004,111585,0.05,0.24,0.87,5.0,58.1,21.4
2014,145775,0.12,0.87,0.47,25.97,65.04,42.56
2023,99761,0.2,0.65,0.38,73.85,69.93,72.11
2017,70349,0.92,0.5,0.18,20.17,81.05,68.06
2003,200550,0.36,0.21,0.33,5.0,42.52,29.63
2017,220500,0.83,0.2,0.97,25.87,17.6,59.29
2005,77427,0.66,0.92,0.81,5.0,55.65,30.58
2018,155009,0.55,0.37,0.61,50.33,7.34,73.08
2012,15265,0.45,0.48,0.07,15.6,93.36,44.9
2018,188155,0.83,0.89,0.73,35.79,36.79,61.0
2022,36193,0.68,0.1,0.69,61.34,73.76,89.15
2001,221884,0.96,0.11,1.0,5.0,27.11,13.01
2020,170684,0.96,0.71,0.65,41.46,39.04,56.91
2021,34483,0.91,0.68,0.65,50.2,77.63,73.89
2021,136633,0.45,0.92,0.51,63.07,49.62,61.63
2013,41967,0.7,0.08,0.8,14.42,19.75,61.93
2006,132084,0.19,0.15,0.67,5.0,57.34,40.02
2019,34599,0.17,0.48,0.41,57.13,85.46,67.64
2007,171089,0.73,0.37,0.54,5.0,46.07,33.85
2013,60798,0.09,0.93,0.03,28.67,73.48,45.91
2012,247315,0.63,0.98,0.83,14.54,21.04,39.35
2013,72497,0.79,0.34,0.04,10.92,73.13,57.46
2001,170680,0.48,0.2,0.89,5.0,48.28,16.68
2008,71916,0.71,0.42,0.0,5.0,81.33,40.81
2023,49553,0.35,0.52,0.79,76.29,62.07,87.41
2005,203757,0.79,0.75,0.86,5.0,24.23,24.96
2024,205284,0.12,0.31,0.95,85.09,31.62,88.36
2021,11915,0.7,0.94,0.31,57.06,84.29,66.14
2011,193603,0.08,0.42,0.13,13.76,47.31,40.23
2004,226592,0.53,0.67,0.69,5.0,33.15,15.86
2022,17233,0.51,0.41,0.83,63.14,93.48,82.74
2022,5245,0.31,0.69,0.51,74.51,82.69,84.18
2015,165999,0.83,0.46,0.02,29.79,48.24,58.53
2022,55929,0.98,0.71,0.61,62.24,56.58,75.31
2015,19343,0.58,0.26,0.46,37.85,87.82,72.07
2022,182769,0.03,0.0,0.38,75.39,41.7,72.99
2020,203508,0.49,0.89,0.56,54.76,29.02,58.3
2014,110256,0.04,0.7,0.44,41.06,63.69,45.3
2010,3546,0.28,0.99,0.39,6.16,88.32,32.76
2003,211040,0.95,0.51,0.44,5.0,31.12,15.83
2008,242642,0.32,0.88,0.28,5.0,27.43,34.3
2015,247685,0.67,0.68,0.34,13.82,37.36,38.61
2012,125754,0.98,0.24,0.73,5.0,52.98,58.03
2013,95076,0.77,0.4,0.13,20.33,65.58,52.98
2003,173003,0.87,0.24,0.94,5.0,36.64,24.21
2013,121249,0.23,0.84,0.96,27.04,56.32,41.65
2013,174455,0.8,0.87,0.63,20.84,31.28,41.4
2013,26625,0.42,0.36,0.16,22.53,86.5,66.44
2007,121032,0.95,0.69,0.83,5.0,45.92,35.53
2010,132460,0.75,0.78,0.51,5.0,54.85,33.52
2004,217251,0.1,0.9,0.12,5.0,47.85,17.77
2016,217065,0.03,0.8,0.9,36.42,28.9,49.73
2024,137725,0.58,0.62,0.41,70.68,49.1,82.94
2020,148192,0.7,0.47,0.44,53.08,60.88,67.97
2017,115593,0.46,0.22,0.98,44.39,55.25,66.23
2021,150343,0.37,0.3,0.96,72.0,48.03,77.56
2011,67595,0.22,0.67,0.95,14.37,70.78,49.77
2017,148792,0.9,0.9,0.5,44.2,46.51,41.11
2020,94129,0.86,0.73,0.45,51.01,11.78,65.75
2019,105160,0.32,0.99,0.06,60.86,65.48,59.09
2022,48353,0.96,0.31,0.54,63.88,62.06,85.9
2001,189689,0.19,0.35,0.95,5.0,41.32,20.55
2012,125563,0.49,0.3,0.18,15.91,65.5,53.88
2014,113412,0.23,0.64,0.92,32.04,52.97,54.38
2008,73077,0.99,0.2,0.8,5.0,53.34,33.34
2020,186832,0.83,0.61,0.78,49.67,27.34,68.67
2001,27357,0.75,0.69,0.07,5.0,89.76,25.98
2001,134048,0.64,0.28,0.09,5.0,62.76,23.99
2002,86674,0.39,0.67,0.49,5.0,64.08,25.28
2016,98940,0.54,0.67,0.03,36.8,70.76,54.37
2000,225325,0.29,0.22,0.79,5.0,31.97,12.98
2014,204257,0.63,0.15,0.06,26.08,42.04,41.93
2019,194014,0.4,0.92,0.6,48.13,40.76,58.53
2010,142338,0.1,0.23,0.12,10.74,61.09,39.09
2020,199476,0.4,0.03,0.59,56.3,49.74,74.32
2014,66855,0.31,0.04,0.0,32.63,76.77,55.54
2021,50784,0.29,0.48,0.02,65.63,89.86,61.85
2022,174575,0.37,0.16,0.25,61.33,36.55,73.3
2013,216253,0.58,0.72,0.35,9.84,35.53,44.87
2017,244055,0.58,0.64,0.39,38.71,33.52,50.79
2024,126056,0.2,0.61,0.19,82.37,59.04,85.31
2009,32901,0.2,0.86,0.62,12.68,77.36,40.31
2004,208302,0.58,0.8,0.61,5.0,37.77,18.26
2023,20526,0.79,0.41,0.54,72.35,77.72,86.72
2006,145995,0.11,0.25,0.43,5.0,45.53,40.33
2021,249157,0.16,0.51,0.06,67.44,31.07,75.49
2007,13832,0.32,0.84,0.65,5.0,81.85,42.48
2024,228872,1.0,0.2,0.07,62.98,34.31,74.25
2006,29773,0.44,0.69,0.52,5.0,77.5,31.49
2022,193087,0.21,0.48,0.5,73.12,45.55,77.34
2007,201891,0.04,0.08,0.87,5.0,28.18,33.42
2007,140165,0.54,0.91,0.78,5.0,49.82,29.14
2015,113926,0.36,0.62,0.29,29.44,59.5,57.5
2019,121639,0.49,0.3,0.84,49.83,58.74,72.06
2009,77332,0.44,0.14,0.72,5.0,68.38,51.04
2020,83400,0.31,0.27,0.35,67.63,63.79,75.26
2021,88953,0.57,0.27,0.74,58.95,62.79,85.96
2013,229358,0.92,0.79,0.65,12.29,23.19,40.47
2014,84648,0.64,0.93,0.31,13.35,63.78,54.34
2014,27293,0.44,0.6,0.72,29.44,79.22,58.68
2007,220558,0.6,0.65,0.42,5.0,31.85,29.24
2009,133724,0.82,0.06,0.45,5.0,48.86,40.18
2022,145923,0.21,0.28,0.77,76.84,45.31,79.69
2018,214917,0.09,0.49,0.96,47.73,30.17,69.01
2017,210625,0.45,0.58,0.83,37.8,28.09,47.99
2018,59520,0.2,0.63,0.69,56.54,69.36,65.23
2007,35108,0.8,0.87,0.28,5.0,76.54,27.85
2012,138126,0.69,0.7,0.02,5.0,64.33,46.01
2010,13172,0.82,0.03,0.1,8.56,91.92,55.2
2021,214222,0.66,0.4,0.63,50.62,29.28,69.88
2017,160799,0.8,0.91,0.57,36.7,44.52,49.51
2018,90337,0.53,0.15,0.5,46.97,61.38,67.45
2013,170297,0.14,0.71,0.51,27.88,43.49,40.7
2002,227673,0.27,0.7,0.67,5.0,26.76,17.46
2012,231474,0.08,0.57,0.56,14.46,31.43,43.86
2003,74897,0.86,0.26,0.54,5.0,68.04,28.46
2019,25597,0.22,0.96,0.05,58.51,87.92,67.98
2009,204714,0.56,0.65,0.59,5.0,38.54,38.28
2016,77081,0.15,0.16,0.01,46.43,73.62,72.25
2005,168394,0.38,0.46,0.89,5.0,45.03,29.37
2012,121474,0.15,0.5,0.46,36.61,55.06,44.64
2012,25466,0.97,0.57,0.05,8.35,88.17,58.03
2016,65760,0.3,0.43,0.95,40.35,66.15,67.1
2016,139647,0.58,0.52,0.68,35.29,50.83,56.64
2024,210730,0.47,0.42,0.18,72.58,39.04,72.85
2017,210045,0.78,0.43,0.74,29.94,27.07,60.41
2008,225867,0.24,0.02,0.69,5.0,34.59,45.87
2018,40485,0.68,0.09,0.9,45.44,77.09,76.85
2004,52807,0.26,0.42,0.31,5.0,69.26,34.2
2005,48900,0.69,1.0,0.66,5.0,71.11,32.89
2013,167442,0.62,0.43,0.36,15.89,45.72,46.96
2020,35915,0.67,0.75,0.79,54.75,72.47,65.07
2021,219744,0.2,0.81,0.6,64.18,45.18,72.37
2007,53182,0.05,0.51,0.12,5.0,80.39,47.65
2015,6046,0.4,0.2,0.64,40.33,74.64,75.25
2016,203401,0.5,0.85,0.91,25.05,38.76,49.58
2001,107197,0.77,0.15,0.27,5.0,68.17,27.58
2007,57369,0.68,0.9,0.42,5.0,77.42,30.64
2020,227058,0.21,0.03,0.28,58.84,32.68,63.7
2014,135470,0.82,0.84,0.17,23.79,53.22,42.0
2001,239118,0.26,0.33,0.62,5.0,25.37,24.31
2005,184082,0.63,0.83,0.56,5.0,49.4,26.72
2024,203891,0.15,0.23,0.37,78.82,43.3,73.22
2005,191442,0.37,0.3,0.34,5.0,37.44,35.42
2020,18644,0.73,0.21,0.53,52.55,79.67,76.91
2020,215176,0.63,0.65,0.52,51.25,33.49,61.29
2015,203758,0.92,0.73,0.79,20.26,24.58,56.57
2020,123453,0.71,0.37,0.73,46.28,48.09,82.76
2012,176834,0.2,0.47,0.43,15.75,49.76,44.82
2019,176432,0.34,0.86,0.26,52.24,45.11,53.11
2017,66476,0.81,0.78,0.05,38.13,68.58,65.44
2020,186072,0.88,0.44,0.53,41.41,35.4,73.33
2021,132864,0.33,0.05,0.9,58.41,40.55,81.35
2003,179416,0.43,0.51,0.2,5.0,47.75,16.86
2017,213203,0.2,0.16,0.85,41.12,38.4,60.97
2009,63985,0.34,0.48,0.44,15.11,82.52,49.13
2008,11215,0.56,0.21,0.5,5.0,76.97,59.29
2024,232320,0.32,0.86,0.5,77.33,32.81,64.94
2004,108260,0.83,0.94,0.31,5.0,60.0,21.98
2018,228083,0.92,0.3,0.87,34.29,22.57,59.64
2002,41042,0.3,0.77,0.95,5.0,73.82,16.75
2006,89847,0.62,0.07,0.04,5.0,72.32,42.93
2000,20560,0.65,0.36,0.95,5.0,73.07,31.02
2002,246038,0.94,0.19,0.95,5.0,11.79,19.45
2010,12097,0.47,0.55,0.86,8.1,82.47,49.1
2019,177213,0.58,0.98,0.37,48.58,43.47,52.15
2022,23702,0.11,0.17,0.3,76.36,100.0,86.73
2004,47542,0.85,0.21,0.01,5.0,88.14,37.68
2016,78076,0.02,0.99,0.88,41.29,57.24,53.42
2023,96280,0.46,0.16,0.5,74.1,65.24,82.34
2005,175224,0.89,0.64,0.37,5.0,38.95,28.28
2019,214866,0.02,0.9,0.3,53.07,41.32,53.0
2020,237707,0.83,0.75,0.34,50.35,23.74,58.1
2005,35722,0.4,0.74,0.45,5.0,87.93,37.36
2003,178530,0.17,0.18,0.75,5.0,43.26,26.17
2003,179817,0.15,0.49,0.56,5.0,52.31,12.58
2004,103332,0.27,0.66,0.63,5.0,63.78,32.3
2007,136598,0.28,0.9,0.33,5.0,54.36,27.07
2015,62020,0.01,0.59,0.76,35.14,67.91,69.63
2014,76546,0.89,0.62,0.94,24.9,54.68,57.67
2024,15456,0.11,0.59,0.75,85.04,85.76,79.66
2003,101456,0.78,0.42,0.54,5.0,56.28,34.0
2022,83549,0.54,0.58,0.45,71.01,73.32,72.13
2010,230248,0.85,0.39,0.29,5.0,31.58,40.35
2023,93136,0.04,0.15,0.78,80.86,66.67,87.91
2013,15001,0.36,0.23,0.99,18.46,72.73,59.96
2003,52391,0.5,0.43,0.27,5.0,79.83,38.52
2000,111605,0.71,0.26,0.46,5.0,65.02,25.09
2013,34430,0.56,0.82,0.37,23.58,78.43,50.11
2023,185654,0.78,0.63,0.79,63.54,37.17,66.16
2009,100851,0.34,0.63,0.17,5.81,63.14,43.7
2007,79403,0.07,0.64,0.88,5.0,63.87,38.43
2009,150558,0.71,0.53,0.14,5.0,45.27,42.31
2018,102442,0.92,0.17,0.77,31.09,51.16,70.1
2023,54015,0.53,0.35,0.99,76.55,67.76,78.51
2022,102119,0.45,0.32,0.41,72.48,66.04,77.51
2023,112971,0.13,0.23,0.45,70.8,72.69,75.45
2017,56878,0.81,0.35,0.89,38.5,62.48,64.13
2018,30358,0.37,0.15,0.56,38.76,77.01,74.56
2003,142266,0.18,0.05,0.51,5.0,46.04,26.94
2003,13196,0.02,0.05,0.52,5.0,93.6,30.71
2008,60412,0.59,0.96,0.12,5.0,74.31,32.65
2023,177723,0.32,0.96,0.13,65.59,45.78,59.3
2014,100555,1.0,0.18,0.77,8.79,48.13,55.3
2009,61854,0.96,0.89,0.41,5.0,72.57,37.03
2006,101996,0.72,0.24,0.75,5.0,57.23,50.93
2019,188255,0.47,0.5,0.34,41.56,38.16,54.75
2005,93330,0.11,0.21,0.47,5.0,67.79,43.43
2003,36195,0.77,0.77,0.8,5.0,65.73,34.44
2016,64351,0.09,0.03,0.2,47.65,72.88,69.22
2010,179895,0.2,0.39,0.75,10.55,44.78,43.94
2016,89193,0.13,0.94,0.38,43.15,76.6,52.21
2000,11258,0.05,0.52,0.27,5.0,99.38,20.5
2023,30661,0.64,0.69,0.44,78.41,81.29,78.77
2002,242532,0.33,0.67,0.87,5.0,23.85,17.17
2015,165431,0.11,0.61,0.86,30.74,43.85,45.88
2008,178439,0.41,0.36,0.06,5.0,49.33,35.91
2003,53309,0.65,0.57,0.46,5.0,71.4,33.82
2015,16334,0.32,0.5,0.41,36.53,93.38,62.7
2008,66685,0.66,0.76,0.9,5.0,61.41,43.11
2002,33843,0.35,0.69,0.33,5.0,85.47,25.8
2004,186849,0.81,0.53,0.25,5.0,41.17,25.68
2023,229733,0.57,0.77,0.42,71.94,30.72,65.86
2007,105182,0.74,0.29,0.59,5.0,65.78,46.63
2024,194840,0.54,0.88,0.04,69.3,40.31,70.7
2013,139918,0.48,0.62,0.93,25.04,43.99,52.27
2014,129831,0.83,0.78,0.96,17.65,50.19,49.98
2021,124891,0.52,0.11,0.51,58.98,56.23,84.3
2024,98687,0.72,0.53,0.32,78.03,62.14,70.4
2021,246216,0.38,0.47,0.93,60.87,19.5,67.86
2008,145137,0.94,0.33,0.7,5.0,41.29,38.29
2006,90616,0.36,0.92,0.7,5.0,58.87,32.79
2007,38713,0.42,0.19,0.52,5.0,73.1,47.83
2002,46709,0.46,0.74,0.62,5.0,67.38,34.16
2022,184627,0.93,0.28,0.95,51.58,29.63,73.52
2019,212088,0.2,0.14,0.44,56.75,37.7,60.03
2022,53962,0.95,0.88,0.06,50.52,67.15,70.99
2023,242767,0.4,0.41,0.06,61.33,36.06,59.34
2019,227277,0.85,0.75,0.63,44.36,23.05,58.29
2000,107981,0.95,0.09,0.91,5.0,43.6,27.86
2016,2425,0.62,0.89,0.13,39.47,94.91,57.35
2014,162084,0.23,0.25,0.47,23.22,46.04,60.61
2009,178652,0.85,0.51,0.42,5.0,48.17,36.0
2012,102382,0.01,0.04,0.79,28.62,61.62,54.32
2017,38790,0.83,0.68,0.14,43.29,76.15,65.6
2018,162628,0.44,0.31,0.26,52.82,47.65,62.3
2024,49350,0.24,0.04,0.14,84.01,83.89,87.91
2005,194750,0.4,0.26,0.43,5.0,37.43,34.72
2011,67716,0.6,0.61,0.55,10.14,69.07,53.9
2019,143070,0.98,0.43,0.39,36.84,51.03,68.31
2021,213271,0.55,0.51,0.27,51.29,41.58,63.24
2010,121925,0.76,0.41,0.69,5.0,45.75,37.49
2023,153153,0.71,0.78,0.44,70.1,53.68,72.27
2007,139477,0.47,0.85,0.32,5.0,52.66,23.86
2006,54986,0.35,0.12,0.56,5.0,76.92,37.65
2011,94626,0.69,0.53,0.86,10.2,54.9,46.22
2007,226712,0.49,0.38,0.6,5.0,27.63,31.22
2006,46607,0.58,0.16,0.08,5.0,81.24,42.89
2012,218874,0.9,0.59,0.96,5.0,20.67,35.7
2007,248475,0.84,0.11,0.43,5.0,17.22,34.47
2001,75314,0.62,0.59,0.92,5.0,64.47,16.03
2011,60034,0.84,0.33,0.53,7.56,65.82,48.03
2009,186996,0.71,0.43,0.3,5.0,43.6,44.24
2023,128801,0.28,0.45,0.09,79.73,58.46,77.52
2007,166014,0.98,0.28,0.98,5.0,35.47,32.6
2024,206741,0.96,0.62,0.8,64.05,22.46,64.65
2021,150823,0.64,0.82,0.56,47.14,49.49,66.68
2018,47845,0.42,0.42,0.01,43.62,81.41,72.06
2003,174582,0.6,0.02,0.34,5.0,46.38,32.82
2010,85021,0.45,0.63,0.0,5.0,72.62,41.06
2010,167825,0.63,0.79,0.45,5.0,40.37,34.56
2023,75750,0.02,0.69,0.77,84.59,65.84,77.72
2021,246374,0.21,0.44,0.56,60.58,34.91,80.45
2008,185981,0.45,0.08,0.57,5.0,41.88,44.6
2001,116609,0.05,0.52,0.37,5.0,61.57,28.64
2005,202829,0.47,0.91,0.37,5.0,33.78,21.53
2002,244365,0.99,0.44,0.47,5.0,17.85,23.89
2024,95829,0.2,0.76,0.08,80.17,74.39,79.18
2013,167938,0.14,0.46,0.65,32.4,39.27,49.23
2020,58472,0.22,0.4,0.96,73.68,72.78,77.87
2024,49640,0.86,0.27,0.03,69.18,74.16,89.59
2012,100678,0.37,0.66,0.49,26.15,63.8,51.7
2022,101021,0.68,0.15,0.13,65.48,64.36,78.99
2020,93758,0.83,0.97,0.73,53.72,57.67,76.03
2015,156828,0.72,0.24,0.45,22.39,46.01,57.38
2004,99280,0.83,0.85,0.03,5.0,67.67,26.13
2010,58539,0.94,0.19,0.53,5.0,69.32,41.98
2010,64254,0.12,0.2,0.37,14.05,70.49,47.47
2000,85718,0.99,0.14,0.49,5.0,56.72,19.32
2024,168933,0.91,0.78,0.05,61.75,52.46,66.39
2014,41369,0.26,0.57,0.58,29.75,79.64,61.73
2013,62401,0.9,0.49,0.8,15.18,66.89,56.92
2011,74907,0.83,0.41,0.18,5.0,79.41,47.53
2014,158736,0.9,0.18,0.74,16.85,48.45,50.05
2020,53451,0.02,0.37,0.31,58.5,80.72,89.91
2006,210848,0.13,0.8,0.92,5.0,29.25,23.96
2021,5284,0.58,0.82,0.43,60.88,96.15,81.81
2018,160604,0.99,0.73,0.07,24.98,53.91,60.02
2007,174630,0.4,0.28,0.88,5.0,46.59,29.77
2008,40218,0.93,0.38,0.97,5.0,66.36,46.97
2003,211427,0.27,0.1,0.11,5.0,36.66,23.23
2006,234994,0.24,0.21,0.73,5.0,24.88,26.6
2012,45381,0.04,0.09,0.15,38.45,83.94,60.77
2013,80746,0.38,0.58,0.26,26.79,82.6,52.62
2016,180461,0.91,0.14,0.14,25.75,42.88,63.57
2020,77019,0.97,0.94,0.83,66.05,57.85,69.14
2015,108998,0.42,0.99,0.36,24.76,71.37,53.15
2016,120300,0.69,0.71,0.66,33.01,54.53,63.47
2003,101535,0.86,0.02,0.79,5.0,59.94,30.42
2006,246203,0.09,0.91,0.39,5.0,32.33,22.91
2020,220571,0.88,0.5,0.85,42.26,12.15,60.26
2007,53647,0.25,0.13,0.78,5.0,75.21,50.56
2009,237878,0.5,0.95,0.15,5.0,37.77,32.41
2019,55226,0.68,0.08,0.54,49.77,68.66,87.1
2016,88853,0.66,0.09,0.0,40.05,71.43,69.6
2000,32570,0.06,0.02,0.09,5.0,97.63,35.37
2015,156907,0.8,0.24,0.16,22.12,49.42,53.72
2008,139317,0.38,0.55,0.31,5.0,56.18,36.35
2016,112931,0.1,0.78,0.17,43.42,63.81,53.81
2023,243036,0.09,0.86,0.31,74.51,36.87,56.33
2014,220932,0.39,0.93,0.03,23.28,9.77,43.8
2003,142646,0.61,0.79,0.3,5.0,53.53,23.39
2004,49942,0.43,0.63,0.03,5.0,71.53,34.49
2004,186228,0.99,0.57,0.82,5.0,32.5,24.13
2018,199341,0.51,0.91,0.0,37.15,45.22,52.92
2016,41402,0.74,0.69,0.13,24.38,77.42,61.02
2014,206771,0.5,0.17,0.35,17.81,46.77,55.4
2022,248944,0.95,0.7,0.18,52.42,28.8,57.5
2017,226125,0.97,0.31,0.05,29.93,31.06,63.61
2000,113359,0.1,0.87,0.99,5.0,52.0,13.79
2010,151703,0.66,0.99,0.11,5.0,48.93,31.04
2001,120585,0.64,0.47,0.98,5.0,50.39,16.24
2005,117951,0.0,0.89,0.42,5.0,61.09,23.02
2004,27507,0.08,0.3,0.91,5.0,78.7,34.78
2010,245037,0.62,0.5,0.37,5.0,37.27,31.95
2019,7807,0.74,0.37,0.37,44.28,81.68,80.97
2007,85005,0.07,0.78,0.49,5.0,74.59,35.64
2024,80443,0.77,0.61,0.4,67.39,75.96,69.24
2022,155943,0.43,0.12,0.81,60.5,42.59,82.19
2008,131818,0.75,0.84,0.63,5.0,42.3,29.37
2016,62127,0.37,0.33,0.93,34.55,58.19,61.31
2021,102911,0.31,0.31,0.19,68.24,63.36,79.98
2012,188597,0.96,0.71,0.98,5.0,30.99,37.29
2007,47694,0.45,0.95,0.52,5.0,70.53,34.01
2008,211711,0.77,0.59,0.4,5.0,30.57,34.93
2007,126328,0.6,0.58,0.34,5.0,54.45,31.22
2019,166222,0.53,0.97,0.84,52.79,42.75,66.57
2024,39906,0.39,0.87,0.45,81.58,77.98,78.84
2005,51033,0.82,0.74,0.84,5.0,66.68,29.48
2017,54122,0.41,0.69,0.01,38.42,75.43,61.19
2015,99068,0.83,0.45,0.07,15.39,63.61,65.31
2014,191084,0.6,0.31,0.72,24.23,48.32,49.17
2000,39997,0.32,0.87,0.36,5.0,83.64,18.18
2017,46585,0.87,0.44,0.07,37.74,72.58,70.07
2017,91841,0.44,0.97,0.92,49.37,53.71,52.97
2012,92307,0.85,0.58,0.36,10.06,61.17,45.66
2003,191187,0.15,0.89,0.41,5.0,42.0,12.96
2004,243962,0.78,0.48,0.94,5.0,17.26,22.08
2023,138158,0.77,0.36,0.53,68.34,60.17,83.28
2006,249615,0.31,1.0,0.53,5.0,28.05,16.8
2005,246111,0.65,0.25,0.31,5.0,28.74,33.83
2006,13770,0.86,0.38,0.9,5.0,72.96,44.08
2012,29355,0.07,0.23,0.16,21.71,87.61,62.12
2012,170390,0.45,0.87,0.73,17.3,35.03,30.69
2024,69796,0.99,0.55,0.83,66.23,60.39,82.52
2023,12400,0.78,0.95,0.25,71.44,93.96,75.57
2011,12291,0.45,0.56,0.8,24.29,83.56,42.74
2013,211038,0.12,0.84,0.42,35.46,36.53,39.21
2003,124070,0.47,0.48,0.67,5.0,56.49,26.47
2014,183988,0.25,0.15,0.76,20.98,45.93,56.82
2019,209279,0.77,0.3,0.53,40.35,27.1,57.8
2016,225743,0.1,0.49,0.81,41.42,25.68,48.35
2018,213213,0.98,0.71,0.67,30.69,19.74,53.27
2013,127640,0.02,0.67,0.08,28.23,67.52,46.11
2015,26741,0.98,0.88,0.55,21.15,80.68,59.12
2007,122246,0.35,0.23,0.62,5.0,59.95,32.33
2014,88325,0.79,0.61,0.73,19.24,50.94,51.7
2022,193872,0.81,0.58,0.52,62.21,40.19,63.97
2001,153663,0.37,0.17,0.35,5.0,51.79,18.25
2001,98924,0.99,0.1,0.02,5.0,62.3,31.97
2011,74182,0.57,0.57,0.85,11.29,56.51,60.68
2012,147230,0.29,0.67,0.96,19.19,37.17,43.35
2022,77252,0.71,0.24,0.87,65.21,59.83,82.77
2015,116751,0.0,0.95,0.74,39.07,68.82,45.09
2003,3408,0.82,0.36,0.15,5.0,81.58,39.16
2006,36701,0.44,0.54,0.78,5.0,86.81,42.21
2020,224369,0.34,0.22,0.69,61.53,29.61,80.84
2009,51497,0.6,0.76,0.11,16.64,66.97,44.89
2011,202324,0.2,0.41,0.51,14.23,38.34,47.86
2001,182846,0.44,0.45,0.47,5.0,36.75,19.49
2014,142669,0.97,0.81,0.06,27.8,58.52,49.12
2018,224179,0.13,0.16,0.8,52.65,36.51,53.7
2012,109446,0.21,0.41,0.22,19.64,57.91,46.35
2011,69848,0.02,0.48,0.38,22.29,69.45,54.44
2020,27705,0.9,0.51,0.82,50.43,66.67,78.41
2024,172315,0.25,0.4,0.96,87.27,35.57,70.24
2002,16908,0.1,0.96,0.48,5.0,88.3,33.01
2010,166020,0.15,0.48,0.71,9.25,45.33,49.05
2005,100140,0.78,0.82,0.64,5.0,6.49,36.31
2020,104588,0.97,0.01,0.28,37.62,67.09,85.97
2016,76106,0.91,0.63,0.53,25.71,72.63,62.36
2012,91852,0.9,0.75,0.21,6.68,58.89,45.74
2023,157143,0.88,0.19,0.27,61.94,52.68,84.69
2000,89285,0.3,0.6,0.82,5.0,66.46,27.23
2002,38252,0.42,0.55,0.01,5.0,83.92,28.0
2002,94592,0.89,0.14,0.55,5.0,55.0,26.59
2001,63767,0.28,0.74,0.58,5.0,72.87,24.66
2009,83280,0.7,0.74,0.6,5.0,59.51,41.52
2016,155684,0.9,0.04,0.76,14.13,38.23,55.12
2010,246437,0.12,0.51,0.77,11.56,25.69,34.67
2009,23499,0.6,0.6,0.18,5.0,83.8,40.65
2016,200326,0.42,0.64,0.65,28.93,39.76,57.75
2020,19969,0.24,0.1,0.64,67.58,89.53,86.0
2014,167582,0.42,0.73,0.09,23.03,49.28,48.64
2006,231314,0.43,0.44,0.7,5.0,32.19,26.39
2022,130061,0.53,0.9,0.55,68.68,51.7,60.96
2017,213551,0.12,0.14,0.68,40.13,43.01,60.15
2013,189276,0.17,0.04,0.13,18.08,50.39,50.06
2018,100635,0.25,0.28,0.42,49.73,66.58,70.15
2006,115368,0.46,0.1,0.61,5.0,54.06,41.32
2019,198507,0.77,0.25,0.99,46.49,28.5,62.1
2015,9359,0.73,0.48,0.0,26.1,88.09,70.22
2016,60150,0.76,0.76,0.27,30.85,78.05,60.97
2011,17462,0.82,0.0,0.86,8.03,65.33,58.24
2016,230499,0.28,0.68,0.16,26.24,32.94,52.52
2016,6491,0.48,0.78,0.87,41.16,70.56,52.57
2012,53268,0.33,0.76,0.89,21.47,73.61,50.83
2004,122129,0.19,0.47,0.45,5.0,62.95,27.86
2004,155928,0.46,0.78,0.25,5.0,53.73,24.14
2021,141148,0.88,0.35,0.79,47.13,37.56,78.36
2020,159211,0.6,0.86,0.58,58.26,49.27,56.09
2008,112695,0.53,0.03,0.93,5.0,54.87,51.15
2005,150545,0.58,0.33,0.25,5.0,55.13,28.41
2003,159439,0.61,0.55,0.21,5.0,49.99,19.38
2006,227672,0.45,0.81,0.35,5.0,34.26,29.18
2020,202795,0.66,0.38,0.26,55.85,32.04,72.25
2011,246372,0.23,0.14,0.23,17.41,31.38,43.58
2015,52006,0.05,0.74,0.55,48.45,77.68,54.94
2014,15028,0.3,0.56,0.05,29.73,97.99,71.7
2015,26230,0.41,0.61,0.97,39.92,74.26,60.3
2006,15512,0.72,0.49,0.66,5.0,72.54,47.22
2024,161326,0.71,0.86,0.73,62.38,43.12,65.04
2001,8422,0.62,0.93,0.69,5.0,79.58,30.54
2010,247533,0.23,0.84,0.8,11.97,23.0,31.98
2007,123083,0.85,0.0,0.41,5.0,55.16,44.32
2019,68126,0.02,0.2,0.43,56.5,75.82,68.72
2000,82531,0.71,0.37,0.67,5.0,62.68,26.26
2022,26751,0.12,0.49,0.08,80.62,82.46,73.65
2002,179811,0.09,0.45,0.95,5.0,37.09,27.36
2000,159843,0.62,0.23,0.81,5.0,43.65,20.66
2011,10805,0.2,0.15,0.98,22.49,82.16,67.56
2019,12660,0.57,0.08,0.35,47.48,82.66,77.54
2018,42119,0.67,0.52,0.98,47.88,67.96,68.59
2006,244860,0.41,0.97,0.26,5.0,35.82,14.98
2007,216762,0.77,0.19,0.08,5.0,30.29,30.9
2014,244709,0.92,0.69,0.96,13.33,13.42,37.02
2008,220831,0.02,0.62,0.92,5.0,33.36,29.02
2014,8556,0.91,0.4,0.96,21.62,74.22,67.22
2001,128257,0.72,0.04,0.71,5.0,52.22,28.42
2018,230711,0.28,0.89,0.57,36.82,25.8,58.56
