slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost,Maintenance_Type,volt_fluctuation,avg_temp,avg_rpm,avg_idle,alternator_wellness,battery_wellness,starter_motor_wellness,serpentine_belt_wellness,ignition_coils_wellness,cv_axle_wellness,wheel_bearings_wellness,fuel_pump_wellness,clutch_wellness,bushings_wellness,brake_pads_wellness,radiator_wellness,water_pump_wellness,spark_plugs_wellness,o2_sensor_wellness
170,car,honda,amaze,diesel,2016,mumbai,10000,9800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2702,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.43181818181819,94.06060606060606,94.06060606060606,91.0909090909091,93.14685314685315,93.63636363636364,94.43181818181819,94.43181818181819,91.90082644628099,91.0909090909091,82.18181818181817,95.54545454545455,92.57575757575758,88.86363636363637,92.57575757575758
171,car,honda,amaze,diesel,2016,mumbai,10000,10302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2720,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.1465909090909,93.75636363636363,93.75636363636363,90.63454545454546,92.7958041958042,93.3103896103896,94.1465909090909,94.1465909090909,91.48595041322314,90.63454545454546,81.26909090909092,95.31727272727272,92.19545454545455,88.29318181818182,92.19545454545455
172,car,honda,amaze,diesel,2016,mumbai,10000,10288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.15454545454546,93.76484848484849,93.76484848484849,90.64727272727274,92.8055944055944,93.3194805194805,94.15454545454546,94.15454545454546,91.49752066115703,90.64727272727274,81.29454545454547,95.32363636363637,92.2060606060606,88.30909090909091,92.2060606060606
173,car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2770,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.31647727272727,93.93757575757576,93.93757575757576,90.90636363636364,93.0048951048951,93.50454545454545,94.31647727272727,94.31647727272727,91.73305785123968,90.90636363636364,81.81272727272729,95.45318181818182,92.4219696969697,88.63295454545454,92.4219696969697
174,car,honda,amaze,diesel,2016,mumbai,10000,10200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.20454545454545,93.81818181818183,93.81818181818183,90.72727272727272,92.86713286713287,93.37662337662339,94.20454545454545,94.20454545454545,91.5702479338843,90.72727272727272,81.45454545454545,95.36363636363636,92.27272727272727,88.4090909090909,92.27272727272727
175,car,honda,amaze,diesel,2016,mumbai,10000,10123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3450,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.24829545454546,93.86484848484848,93.86484848484848,90.79727272727273,92.92097902097902,93.42662337662337,94.24829545454546,94.24829545454546,91.63388429752067,90.79727272727273,81.59454545454545,95.39863636363637,92.3310606060606,88.49659090909091,92.3310606060606
176,car,honda,amaze,diesel,2016,mumbai,10000,9992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,94.32272727272726,93.94424242424242,93.94424242424242,90.91636363636364,93.01258741258741,93.51168831168832,94.32272727272726,94.32272727272726,91.74214876033058,90.91636363636364,81.83272727272728,95.45818181818181,92.43030303030302,88.64545454545456,92.43030303030302
177,car,honda,amaze,diesel,2016,mumbai,10000,10675,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,93.9346590909091,93.53030303030303,93.53030303030303,90.29545454545455,92.53496503496504,93.06818181818181,93.9346590909091,93.9346590909091,91.17768595041322,90.29545454545455,80.5909090909091,95.14772727272728,91.9128787878788,87.86931818181817,91.9128787878788
178,car,honda,amaze,diesel,2016,mumbai,10000,13987,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,92.0528409090909,91.52303030303031,91.52303030303031,87.28454545454547,90.21888111888113,90.91753246753247,92.0528409090909,92.0528409090909,88.4404958677686,87.28454545454547,74.56909090909092,93.64227272727273,89.40378787878788,84.10568181818182,89.40378787878788
179,car,honda,amaze,diesel,2016,mumbai,10000,14567,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,91.72329545454545,91.17151515151515,91.17151515151515,86.75727272727272,89.81328671328671,90.5409090909091,91.72329545454545,91.72329545454545,87.9611570247934,86.75727272727272,73.51454545454546,93.37863636363637,88.96439393939394,83.44659090909092,88.96439393939394
180,car,honda,amaze,diesel,2016,mumbai,10000,11002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,93.74886363636364,93.33212121212121,93.33212121212121,89.99818181818182,92.3062937062937,92.85584415584415,93.74886363636364,93.74886363636364,90.90743801652893,89.99818181818182,79.99636363636364,94.99909090909091,91.6651515151515,87.49772727272726,91.6651515151515
181,car,honda,amaze,diesel,2016,mumbai,10000,12347,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,92.98465909090909,92.5169696969697,92.5169696969697,88.77545454545455,91.36573426573426,91.98246753246752,92.98465909090909,92.98465909090909,89.79586776859504,88.77545454545455,77.55090909090909,94.38772727272728,90.64621212121212,85.96931818181818,90.64621212121212
182,car,honda,amaze,diesel,2016,mumbai,20000,20003,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.63465909090908,87.8769696969697,87.8769696969697,81.81545454545454,86.01188811188811,87.01103896103896,88.63465909090908,88.63465909090908,83.46859504132232,81.81545454545454,63.63090909090909,90.90772727272727,84.84621212121213,77.26931818181818,84.84621212121213
183,car,honda,amaze,diesel,2016,mumbai,20000,17890,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,89.83522727272727,89.15757575757576,89.15757575757576,83.73636363636365,87.4895104895105,88.38311688311688,89.83522727272727,89.83522727272727,85.21487603305785,83.73636363636365,67.47272727272728,91.86818181818181,86.4469696969697,79.67045454545453,86.4469696969697
184,car,honda,amaze,diesel,2016,mumbai,20000,23000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,86.93181818181819,86.06060606060606,86.06060606060606,79.0909090909091,83.91608391608392,85.06493506493507,86.93181818181819,86.93181818181819,80.99173553719008,79.0909090909091,58.18181818181819,89.54545454545455,82.57575757575756,73.86363636363636,82.57575757575756
185,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.06818181818181,87.27272727272728,87.27272727272728,80.9090909090909,85.3146853146853,86.36363636363636,88.06818181818181,88.06818181818181,82.64462809917356,80.9090909090909,61.81818181818181,90.45454545454545,84.0909090909091,76.13636363636364,84.0909090909091
186,car,honda,amaze,diesel,2016,mumbai,20000,18907,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5400,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,89.25738636363636,88.54121212121213,88.54121212121213,82.81181818181818,86.77832167832167,87.72272727272727,89.25738636363636,89.25738636363636,84.37438016528927,82.81181818181818,65.62363636363638,91.40590909090909,85.67651515151515,78.51477272727273,85.67651515151515
187,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.06818181818181,87.27272727272728,87.27272727272728,80.9090909090909,85.3146853146853,86.36363636363636,88.06818181818181,88.06818181818181,82.64462809917356,80.9090909090909,61.81818181818181,90.45454545454545,84.0909090909091,76.13636363636364,84.0909090909091
188,car,honda,amaze,diesel,2016,mumbai,20000,19009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,89.19943181818182,88.47939393939393,88.47939393939393,82.71909090909091,86.706993006993,87.6564935064935,89.19943181818182,89.19943181818182,84.2900826446281,82.71909090909091,65.43818181818182,91.35954545454545,85.59924242424243,78.39886363636364,85.59924242424243
189,car,honda,amaze,diesel,2016,mumbai,20000,19998,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.6375,87.88,87.88,81.82000000000001,86.01538461538462,87.0142857142857,88.6375,88.6375,83.47272727272727,81.82000000000001,63.64000000000001,90.91,84.85000000000001,77.275,84.85000000000001
190,car,honda,amaze,diesel,2016,mumbai,20000,23212,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,86.81136363636364,85.93212121212122,85.93212121212122,78.89818181818183,83.76783216783217,84.92727272727272,86.81136363636364,86.81136363636364,80.81652892561983,78.89818181818183,57.796363636363644,89.44909090909091,82.41515151515152,73.62272727272727,82.41515151515152
191,car,honda,amaze,diesel,2016,mumbai,20000,18989,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,89.21079545454546,88.49151515151516,88.49151515151516,82.73727272727272,86.72097902097902,87.66948051948052,89.21079545454546,89.21079545454546,84.30661157024794,82.73727272727272,65.47454545454545,91.36863636363637,85.61439393939393,78.42159090909091,85.61439393939393
192,car,honda,amaze,diesel,2016,mumbai,20000,19878,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.70568181818182,87.95272727272727,87.95272727272727,81.9290909090909,86.0993006993007,87.09220779220779,88.70568181818182,88.70568181818182,83.57190082644628,81.9290909090909,63.858181818181826,90.96454545454546,84.94090909090909,77.41136363636365,84.94090909090909
193,car,honda,amaze,diesel,2016,mumbai,20000,22398,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,87.27386363636363,86.42545454545454,86.42545454545454,79.63818181818182,84.33706293706294,85.45584415584415,87.27386363636363,87.27386363636363,81.4892561983471,79.63818181818182,59.27636363636364,89.81909090909092,83.03181818181818,74.54772727272727,83.03181818181818
194,car,honda,amaze,diesel,2016,mumbai,20000,24567,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5420,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,86.04147727272728,85.11090909090909,85.11090909090909,77.66636363636363,82.82027972027973,84.0474025974026,86.04147727272728,86.04147727272728,79.69669421487605,77.66636363636363,55.332727272727276,88.83318181818181,81.38863636363635,72.08295454545454,81.38863636363635
195,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.06818181818181,87.27272727272728,87.27272727272728,80.9090909090909,85.3146853146853,86.36363636363636,88.06818181818181,88.06818181818181,82.64462809917356,80.9090909090909,61.81818181818181,90.45454545454545,84.0909090909091,76.13636363636364,84.0909090909091
196,car,honda,amaze,diesel,2016,mumbai,20000,22009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,7100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,87.49488636363635,86.66121212121212,86.66121212121212,79.99181818181819,84.60909090909091,85.70844155844156,87.49488636363635,87.49488636363635,81.81074380165289,79.99181818181819,59.98363636363637,89.9959090909091,83.32651515151514,74.98977272727274,83.32651515151514
197,car,honda,amaze,diesel,2016,mumbai,20000,20009,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5900,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.63125000000001,87.87333333333333,87.87333333333333,81.81,86.00769230769231,87.00714285714287,88.63125000000001,88.63125000000001,83.46363636363637,81.81,63.62000000000001,90.905,84.84166666666667,77.2625,84.84166666666667
198,car,honda,amaze,diesel,2016,mumbai,20000,24509,1,1,1,0,1,1,1,0,0,0,0,0,0,0,6100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,86.07443181818182,85.1460606060606,85.1460606060606,77.71909090909091,82.86083916083916,84.08506493506493,86.07443181818182,86.07443181818182,79.74462809917355,77.71909090909091,55.43818181818183,88.85954545454545,81.43257575757575,72.14886363636364,81.43257575757575
199,car,honda,amaze,diesel,2016,mumbai,20000,15559,1,1,1,0,1,1,1,0,0,0,0,0,0,0,8750,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,91.1596590909091,90.57030303030304,90.57030303030304,85.85545454545455,89.11958041958043,89.89675324675325,91.1596590909091,91.1596590909091,87.14132231404959,85.85545454545455,71.7109090909091,92.92772727272728,88.2128787878788,82.31931818181818,88.2128787878788
200,car,honda,amaze,diesel,2016,mumbai,20000,19000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,8800,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,89.20454545454545,88.48484848484848,88.48484848484848,82.72727272727273,86.7132867132867,87.66233766233766,89.20454545454545,89.20454545454545,84.29752066115704,82.72727272727273,65.45454545454545,91.36363636363637,85.60606060606061,78.4090909090909,85.60606060606061
201,car,honda,amaze,diesel,2016,mumbai,20000,24500,1,1,1,0,1,1,1,0,0,0,0,0,0,0,7890,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,86.07954545454545,85.15151515151516,85.15151515151516,77.72727272727273,82.86713286713287,84.0909090909091,86.07954545454545,86.07954545454545,79.75206611570248,77.72727272727273,55.45454545454547,88.86363636363637,81.43939393939394,72.15909090909092,81.43939393939394
202,car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,9800,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,88.06818181818181,87.27272727272728,87.27272727272728,80.9090909090909,85.3146853146853,86.36363636363636,88.06818181818181,88.06818181818181,82.64462809917356,80.9090909090909,61.81818181818181,90.45454545454545,84.0909090909091,76.13636363636364,84.0909090909091
203,car,honda,amaze,diesel,2016,mumbai,30000,30002,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.95340909090909,81.8169696969697,81.8169696969697,72.72545454545455,79.01958041958042,80.51818181818182,82.95340909090909,82.95340909090909,75.20495867768595,72.72545454545455,45.4509090909091,86.36272727272727,77.27121212121212,65.90681818181818,77.27121212121212
204,car,honda,amaze,diesel,2016,mumbai,30000,30102,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.8965909090909,81.75636363636364,81.75636363636364,72.63454545454546,78.94965034965034,80.45324675324676,82.8965909090909,82.8965909090909,75.12231404958678,72.63454545454546,45.26909090909091,86.31727272727274,77.19545454545454,65.79318181818181,77.19545454545454
205,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,80.37329545454546,79.06484848484848,79.06484848484848,68.59727272727272,75.84405594405594,77.56948051948052,80.37329545454546,80.37329545454546,71.45206611570248,68.59727272727272,37.194545454545455,84.29863636363638,73.8310606060606,60.74659090909091,73.8310606060606
206,car,honda,amaze,diesel,2016,mumbai,30000,31289,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.22215909090909,81.03696969696969,81.03696969696969,71.55545454545455,78.11958041958043,79.68246753246753,82.22215909090909,82.22215909090909,74.1413223140496,71.55545454545455,43.1109090909091,85.77772727272728,76.29621212121211,64.44431818181819,76.29621212121211
207,car,honda,amaze,diesel,2016,mumbai,30000,33298,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7150,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,81.08068181818182,79.81939393939395,79.81939393939395,69.72909090909091,76.71468531468531,78.37792207792208,81.08068181818182,81.08068181818182,72.48099173553719,69.72909090909091,39.45818181818183,84.86454545454546,74.77424242424242,62.161363636363646,74.77424242424242
208,car,honda,amaze,diesel,2016,mumbai,30000,32987,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7200,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,81.25738636363636,80.00787878787878,80.00787878787878,70.01181818181819,76.93216783216783,78.57987012987013,81.25738636363636,81.25738636363636,72.73801652892561,70.01181818181819,40.02363636363637,85.0059090909091,75.00984848484849,62.51477272727273,75.00984848484849
209,car,honda,amaze,diesel,2016,mumbai,30000,30007,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.95056818181818,81.81393939393939,81.81393939393939,72.72090909090909,79.01608391608391,80.51493506493507,82.95056818181818,82.95056818181818,75.20082644628098,72.72090909090909,45.44181818181819,86.36045454545454,77.26742424242424,65.90113636363637,77.26742424242424
210,car,honda,amaze,diesel,2016,mumbai,30000,29998,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7120,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.95568181818182,81.81939393939393,81.81939393939393,72.72909090909093,79.02237762237763,80.52077922077923,82.95568181818182,82.95568181818182,75.20826446280992,72.72909090909093,45.45818181818183,86.36454545454546,77.27424242424242,65.91136363636363,77.27424242424242
211,car,honda,amaze,diesel,2016,mumbai,30000,31980,1,1,1,0,0,0,0,0,0,1,0,0,0,0,6900,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,81.82954545454547,80.61818181818182,80.61818181818182,70.92727272727272,77.63636363636364,79.23376623376623,81.82954545454547,81.82954545454547,73.5702479338843,70.92727272727272,41.854545454545466,85.46363636363637,75.77272727272727,63.65909090909091,75.77272727272727
212,car,honda,amaze,diesel,2016,mumbai,30000,30009,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.94943181818182,81.81272727272727,81.81272727272727,72.71909090909091,79.01468531468532,80.51363636363637,82.94943181818182,82.94943181818182,75.199173553719,72.71909090909091,45.438181818181825,86.35954545454545,77.26590909090909,65.89886363636364,77.26590909090909
213,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,80.37329545454546,79.06484848484848,79.06484848484848,68.59727272727272,75.84405594405594,77.56948051948052,80.37329545454546,80.37329545454546,71.45206611570248,68.59727272727272,37.194545454545455,84.29863636363638,73.8310606060606,60.74659090909091,73.8310606060606
214,car,honda,amaze,diesel,2016,mumbai,30000,34543,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,80.37329545454546,79.06484848484848,79.06484848484848,68.59727272727272,75.84405594405594,77.56948051948052,80.37329545454546,80.37329545454546,71.45206611570248,68.59727272727272,37.194545454545455,84.29863636363638,73.8310606060606,60.74659090909091,73.8310606060606
215,car,honda,amaze,diesel,2016,mumbai,30000,28987,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,83.53011363636364,82.43212121212122,82.43212121212122,73.64818181818183,79.72937062937064,81.17727272727274,83.53011363636364,83.53011363636364,76.04380165289257,73.64818181818183,47.29636363636365,86.82409090909091,78.0401515151515,67.06022727272727,78.0401515151515
216,car,honda,amaze,diesel,2016,mumbai,30000,31654,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8300,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.01477272727273,80.81575757575757,80.81575757575757,71.22363636363637,77.86433566433566,79.44545454545454,82.01477272727273,82.01477272727273,73.83966942148761,71.22363636363637,42.44727272727273,85.61181818181818,76.01969696969697,64.02954545454546,76.01969696969697
217,car,honda,amaze,diesel,2016,mumbai,30000,31098,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.33068181818182,81.15272727272728,81.15272727272728,71.72909090909091,78.25314685314686,79.80649350649351,82.33068181818182,82.33068181818182,74.29917355371902,71.72909090909091,43.45818181818183,85.86454545454546,76.44090909090909,64.66136363636363,76.44090909090909
218,car,honda,amaze,diesel,2016,mumbai,30000,26789,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8400,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.77897727272727,83.76424242424243,83.76424242424243,75.64636363636363,81.26643356643358,82.60454545454546,84.77897727272727,84.77897727272727,77.8603305785124,75.64636363636363,51.29272727272728,87.82318181818182,79.70530303030303,69.55795454545455,79.70530303030303
219,car,honda,amaze,diesel,2016,mumbai,30000,32456,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8150,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,81.5590909090909,80.32969696969697,80.32969696969697,70.49454545454546,77.3034965034965,78.92467532467533,81.5590909090909,81.5590909090909,73.17685950413224,70.49454545454546,40.98909090909092,85.24727272727273,75.4121212121212,63.11818181818182,75.4121212121212
220,car,honda,amaze,diesel,2016,mumbai,30000,27865,1,1,1,0,0,0,0,0,0,1,0,0,0,0,10000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,84.16761363636364,83.11212121212121,83.11212121212121,74.66818181818182,80.51398601398601,81.90584415584415,84.16761363636364,84.16761363636364,76.97107438016529,74.66818181818182,49.33636363636364,87.33409090909092,78.89015151515152,68.33522727272727,78.89015151515152
221,car,honda,amaze,diesel,2016,mumbai,30000,29876,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9500,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,83.02499999999999,81.89333333333333,81.89333333333333,72.84,79.1076923076923,80.60000000000001,83.02499999999999,83.02499999999999,75.30909090909091,72.84,45.68000000000001,86.42,77.36666666666667,66.05,77.36666666666667
222,car,honda,amaze,diesel,2016,mumbai,30000,31245,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9870,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,82.2471590909091,81.06363636363636,81.06363636363636,71.59545454545454,78.15034965034965,79.71103896103897,82.2471590909091,82.2471590909091,74.17768595041323,71.59545454545454,43.1909090909091,85.79772727272727,76.32954545454545,64.49431818181819,76.32954545454545
223,car,honda,amaze,diesel,2016,mumbai,30000,33233,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,81.11761363636364,79.85878787878788,79.85878787878788,69.78818181818183,76.76013986013986,78.42012987012987,81.11761363636364,81.11761363636364,72.53471074380165,69.78818181818183,39.576363636363645,84.89409090909092,74.82348484848484,62.23522727272728,74.82348484848484
224,car,honda,amaze,diesel,2016,mumbai,40000,40100,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,77.2159090909091,75.6969696969697,75.6969696969697,63.54545454545455,71.95804195804196,73.96103896103897,77.2159090909091,77.2159090909091,66.85950413223141,63.54545454545455,27.0909090909091,81.77272727272728,69.62121212121212,54.43181818181818,69.62121212121212
225,car,honda,amaze,diesel,2016,mumbai,40000,43221,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6950,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.44261363636365,73.80545454545455,73.80545454545455,60.70818181818183,69.77552447552448,71.93441558441558,75.44261363636365,75.44261363636365,64.2801652892562,60.70818181818183,21.416363636363645,80.35409090909091,67.25681818181819,50.88522727272727,67.25681818181819
226,car,honda,amaze,diesel,2016,mumbai,40000,41098,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6250,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,76.64886363636364,75.09212121212121,75.09212121212121,62.63818181818181,71.26013986013986,73.31298701298701,76.64886363636364,76.64886363636364,66.03471074380165,62.63818181818181,25.27636363636364,81.3190909090909,68.86515151515151,53.29772727272728,68.86515151515151
227,car,honda,amaze,diesel,2016,mumbai,40000,42222,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,76.01022727272728,74.41090909090909,74.41090909090909,61.616363636363644,70.47412587412587,72.58311688311689,76.01022727272728,76.01022727272728,65.10578512396694,61.616363636363644,23.23272727272728,80.80818181818182,68.01363636363637,52.02045454545454,68.01363636363637
228,car,honda,amaze,diesel,2016,mumbai,40000,43766,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.13295454545454,73.47515151515151,73.47515151515151,60.212727272727285,69.3944055944056,71.58051948051948,75.13295454545454,75.13295454545454,63.82975206611571,60.212727272727285,20.425454545454556,80.10636363636364,66.8439393939394,50.26590909090909,66.8439393939394
229,car,honda,amaze,diesel,2016,mumbai,40000,41787,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6200,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,76.25738636363637,74.67454545454547,74.67454545454547,62.01181818181818,70.77832167832167,72.86558441558442,76.25738636363637,76.25738636363637,65.46528925619835,62.01181818181818,24.02363636363637,81.00590909090909,68.34318181818182,52.51477272727273,68.34318181818182
230,car,honda,amaze,diesel,2016,mumbai,40000,42234,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6150,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,76.00340909090909,74.40363636363637,74.40363636363637,61.60545454545455,70.46573426573426,72.57532467532468,76.00340909090909,76.00340909090909,65.09586776859504,61.60545454545455,23.210909090909105,80.80272727272728,68.00454545454546,52.00681818181818,68.00454545454546
231,car,honda,amaze,diesel,2016,mumbai,40000,42656,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6100,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.76363636363637,74.14787878787878,74.14787878787878,61.221818181818186,70.17062937062937,72.3012987012987,75.76363636363637,75.76363636363637,64.74710743801653,61.221818181818186,22.443636363636376,80.61090909090909,67.68484848484849,51.52727272727273,67.68484848484849
232,car,honda,amaze,diesel,2016,mumbai,40000,43298,1,1,1,0,0,1,1,0,0,0,0,1,1,0,5900,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.39886363636363,73.75878787878789,73.75878787878789,60.63818181818183,69.72167832167833,71.88441558441558,75.39886363636363,75.39886363636363,64.21652892561984,60.63818181818183,21.276363636363648,80.3190909090909,67.19848484848485,50.797727272727265,67.19848484848485
233,car,honda,amaze,diesel,2016,mumbai,40000,42787,1,1,1,0,0,1,1,0,0,0,0,1,1,0,6000,1,55.413514985681566,33.363510898043955,2237.431825451829,1.545976919349219,75.68920454545454,74.06848484848484,74.06848484848484,61.10272727272728,70.07902097902098,72.21623376623376,75.68920454545454,75.68920454545454,64.63884297520661,61.10272727272728,22.20545454545455,80.55136363636363,67.58560606060607,51.378409090909095,67.58560606060607
