year,mileage,temp_scale,idle_scale,habit_scale,coolant_wellness,ignition_wellness,fuel_wellness
2004,241802,0.05,0.61,0.98,5.0,13.73,52.13
2011,96974,0.7,0.49,0.93,33.25,54.77,74.65
2014,111304,0.75,0.31,0.2,40.56,64.24,71.26
2017,86046,0.47,0.9,0.02,37.72,69.5,82.43
2016,91431,0.55,0.85,0.9,33.1,62.66,83.36
2005,15357,0.75,0.64,0.1,25.4,89.85,96.1
2012,91984,0.56,0.05,0.3,41.39,71.25,84.43
2018,72788,0.92,0.8,0.25,48.65,65.23,81.93
2010,147072,0.81,0.45,0.17,10.84,47.32,66.0
2018,135567,0.9,0.72,0.48,29.2,41.58,64.09
2003,141333,0.92,0.55,0.14,5.0,52.5,67.35
2003,51161,0.32,0.25,0.17,33.31,89.8,91.86
2018,29547,0.33,0.82,0.72,56.34,77.11,91.82
2019,233468,0.41,0.17,0.2,33.47,13.3,45.03
2021,10123,0.77,0.51,0.76,67.65,94.26,84.62
2016,56942,0.1,0.29,0.78,68.73,76.73,92.15
2015,34937,0.04,0.59,0.77,61.76,77.09,85.29
2008,234453,0.44,0.48,0.28,5.0,19.4,43.82
2015,3111,0.06,0.42,0.77,62.38,91.5,96.07
2011,26280,0.17,0.36,0.25,56.62,89.52,84.82
2018,28371,0.64,0.43,0.04,46.84,82.82,86.1
2020,157281,0.35,0.43,0.69,45.7,39.9,72.29
2012,24935,0.03,0.63,0.19,47.86,91.08,94.93
2010,234496,0.42,0.57,0.49,5.02,16.34,44.08
2021,204032,0.55,0.21,0.74,46.96,27.76,59.37
2017,61894,0.72,0.6,0.54,45.74,73.81,81.4
2002,210676,0.55,0.31,0.34,5.0,33.89,38.93
2017,111035,0.17,0.35,0.15,57.53,67.75,70.0
2016,18428,0.36,0.7,0.45,67.67,91.7,96.36
2022,222208,0.38,0.09,0.58,40.41,15.0,56.73
2009,92056,0.18,0.53,0.32,38.4,57.41,83.72
2023,79038,0.56,0.59,0.44,60.79,68.85,78.06
2007,143439,0.16,0.72,0.04,18.3,50.35,67.72
2019,140905,0.3,0.64,0.13,50.63,61.12,77.53
2002,144299,0.34,0.3,0.26,12.66,49.13,74.73
2018,94504,0.44,0.5,0.73,45.82,57.68,67.37
2017,91644,0.95,0.5,0.7,35.78,56.04,66.99
2004,189080,0.64,0.23,0.81,5.0,18.34,58.5
2012,183736,0.95,0.05,0.66,9.78,32.2,49.8
2024,57942,0.45,0.11,0.63,75.71,61.57,88.36
2024,213698,0.24,0.71,0.86,48.21,23.64,51.06
2005,143866,0.73,0.88,0.82,5.0,47.25,53.35
2004,111574,0.04,0.12,0.1,30.2,60.88,83.67
2024,60284,0.79,0.96,0.72,61.44,74.1,81.93
2004,249360,0.92,0.63,0.97,5.0,11.74,36.34
2014,149412,0.12,0.56,0.43,32.75,43.08,68.05
2017,95483,0.21,0.22,0.27,55.02,65.79,87.27
2014,34425,0.5,0.7,0.78,49.1,83.6,86.68
2016,152929,0.49,0.87,0.9,27.06,40.0,58.11
2017,233131,0.68,0.81,0.53,6.96,18.34,43.16
2005,98371,0.76,0.54,0.18,5.0,61.38,65.84
2017,104108,0.19,0.9,0.0,47.37,67.38,76.55
2010,42400,0.62,0.72,0.73,23.83,66.61,86.69
2016,35189,0.26,0.93,0.13,64.31,96.24,86.0
2017,78756,0.39,0.53,0.73,48.02,66.83,76.5
2012,2578,0.46,0.68,0.43,47.67,91.7,88.54
2023,141155,0.61,0.6,0.63,51.88,42.79,64.82
2024,30838,0.27,0.1,0.32,84.32,91.18,95.49
2000,139747,0.42,0.36,0.52,5.0,48.77,64.89
2009,209371,0.64,0.39,0.07,12.61,34.9,38.53
2003,201010,0.41,0.82,0.88,5.0,19.31,65.87
2017,198296,0.18,0.09,0.3,38.32,27.8,57.79
2024,166968,0.42,0.11,0.19,58.08,43.68,57.09
2023,54545,0.24,0.31,0.08,75.67,86.5,87.47
2024,102210,0.82,0.01,0.23,52.63,63.46,70.34
2005,216193,0.72,0.43,0.18,5.0,20.76,51.99
2006,131302,0.78,0.08,0.28,14.24,59.37,68.14
2014,57483,0.59,0.56,0.46,43.7,72.56,91.91
2008,192279,0.0,0.31,0.1,17.66,35.08,67.93
2014,204843,0.86,0.41,0.14,15.57,23.86,51.01
2002,142853,0.99,0.14,0.37,5.0,55.05,65.45
2006,9712,0.16,0.54,0.61,46.63,85.6,100.0
2007,1234,0.81,0.12,0.2,26.69,85.37,78.55
2024,53992,0.45,0.47,0.19,69.13,81.09,85.47
2009,127633,0.6,0.37,0.08,15.41,55.5,76.35
2003,100124,0.29,0.81,0.57,8.17,55.11,83.61
2002,205495,0.61,0.91,0.16,5.0,35.95,49.75
2006,130150,0.27,0.72,0.29,22.1,57.02,66.56
2007,176497,0.94,0.89,0.51,5.0,43.35,61.87
2021,202777,0.33,0.41,0.28,47.31,24.89,52.56
2019,20650,0.77,0.64,0.01,57.49,93.16,90.65
2009,181687,0.27,0.28,0.92,15.16,24.79,68.06
2009,191102,0.02,0.27,0.33,17.02,32.88,58.41
2006,216760,0.88,0.1,0.64,5.0,8.77,43.84
2011,29485,0.51,0.46,0.24,48.25,84.41,91.27
2021,1872,0.51,0.25,0.14,74.96,93.46,99.55
2016,48705,1.0,0.96,0.39,41.51,77.06,84.73
2018,98584,0.91,0.13,0.31,39.17,62.45,73.62
2004,242501,0.35,0.8,0.48,5.0,12.47,45.56
2018,15088,0.83,0.79,0.88,57.27,83.65,84.25
2004,23894,0.52,0.17,0.43,27.26,85.86,88.56
2016,36500,0.34,0.48,0.38,50.32,84.09,90.51
2019,133572,0.42,0.8,0.43,52.33,47.69,75.31
2017,149011,0.66,0.56,0.73,32.75,38.76,57.29
2014,180942,0.5,0.7,0.31,19.8,47.95,50.24
2007,240838,0.77,0.56,0.92,5.0,15.58,43.08
2005,127239,0.87,0.83,0.16,5.0,54.8,65.57
2012,126385,0.03,0.19,0.57,44.91,49.63,77.11
2010,114532,0.64,0.86,0.15,23.06,64.53,57.04
2000,249778,0.61,0.31,0.8,5.0,8.93,52.9
2009,193438,0.53,0.21,0.27,8.44,28.88,57.72
2012,146096,0.38,0.59,0.48,32.16,49.51,66.82
2007,66110,0.79,0.55,0.48,12.12,73.87,80.99
2003,224922,0.85,0.95,0.41,5.0,10.54,48.36
2015,92914,0.46,0.7,0.33,42.42,63.1,73.7
2021,156871,0.22,0.58,0.62,46.74,38.66,63.25
2020,223782,0.36,0.39,0.95,31.47,12.67,49.17
2002,178946,0.69,0.31,0.73,5.0,22.44,48.87
2021,76199,0.22,0.88,0.07,63.33,69.8,80.88
2018,7728,0.06,0.61,0.21,60.3,100.0,99.58
2013,135181,0.64,0.11,0.56,31.74,52.57,70.34
2001,23335,0.38,0.58,0.26,22.84,97.85,95.15
2002,196970,0.83,0.67,0.2,5.0,39.19,51.69
2004,77588,0.24,0.37,0.31,26.05,67.01,81.51
2019,92849,0.94,0.69,0.77,36.49,52.56,71.56
2001,45102,0.68,0.63,0.43,13.22,64.4,81.29
2011,232994,0.19,0.27,0.07,12.96,11.22,47.4
2023,201712,0.22,0.44,0.41,47.56,30.06,55.69
2020,17720,0.48,0.91,0.39,56.8,86.95,89.45
2011,231210,0.01,0.6,0.6,14.58,21.76,49.6
2006,244121,0.37,0.47,0.12,5.0,19.35,50.75
2023,118105,0.06,0.37,0.88,62.17,42.64,85.36
2001,79538,0.05,0.64,0.69,18.44,67.44,87.11
2005,238217,0.45,0.34,0.35,5.0,15.15,45.19
2006,214869,0.33,0.37,0.34,5.31,20.85,43.54
2004,14015,0.89,0.81,0.73,18.79,91.87,90.0
2008,189374,0.77,0.64,0.18,5.0,31.14,51.83
2012,49813,0.74,0.95,0.07,33.55,82.83,85.01
2005,115838,0.91,0.52,0.21,5.0,67.37,69.88
2019,65393,0.31,0.96,0.67,64.05,58.65,85.93
2024,74327,0.52,0.77,0.12,59.55,73.09,87.63
2002,122603,0.9,0.05,0.19,5.0,55.21,70.87
2009,152736,0.45,0.86,0.67,10.8,46.15,62.09
2019,53021,0.44,0.54,0.55,57.81,84.04,81.28
2017,188132,0.13,0.36,0.02,33.75,39.03,62.31
2010,162999,0.01,0.62,0.69,28.97,40.09,71.51
2017,201687,0.29,0.08,0.26,30.22,35.88,59.51
2019,103309,0.87,0.28,0.94,49.52,47.94,74.7
2005,182322,0.82,0.79,0.91,5.0,26.08,53.75
2021,2255,0.38,0.67,0.58,68.32,100.0,93.09
2003,186794,0.15,0.74,0.2,5.0,37.75,67.64
2014,87369,0.0,0.14,0.4,48.82,71.59,86.61
2024,165772,0.05,0.93,0.99,59.44,31.03,56.51
2018,61099,0.9,0.85,0.24,47.61,85.97,74.25
2007,21541,0.27,0.76,0.97,32.19,83.63,88.6
2000,61789,0.29,0.22,0.99,13.03,69.64,89.66
2008,115366,0.03,0.02,0.95,33.3,45.32,80.94
2015,135814,0.79,0.26,0.56,31.28,56.61,67.46
2007,8347,0.35,0.38,0.02,33.21,100.0,85.52
2013,155640,0.9,0.59,0.82,14.93,40.97,66.94
2019,74209,0.52,0.03,0.76,55.78,64.17,79.79
2004,160451,0.46,0.3,0.93,5.0,37.08,71.02
2003,61293,0.57,0.53,0.47,19.09,72.9,79.19
2005,216109,0.18,0.59,0.76,9.95,23.05,58.76
2017,95995,0.82,0.78,0.77,41.16,54.88,72.11
2007,27452,0.78,0.35,0.25,27.12,86.64,89.6
2003,187591,0.9,0.77,0.28,5.0,37.74,45.93
2004,86552,0.76,0.68,0.22,5.81,71.49,79.75
2000,105231,0.68,0.14,0.74,5.0,59.19,68.38
2012,104678,0.94,0.98,0.84,22.54,59.22,71.19
2017,128318,0.87,0.05,0.8,35.99,39.96,63.54
2020,56078,0.64,0.86,0.95,44.15,65.45,86.26
2016,226142,0.82,0.53,0.0,22.89,29.39,45.34
2016,219137,0.99,0.44,0.42,16.75,26.07,53.26
2003,163460,0.95,0.03,0.22,5.0,46.91,67.45
2022,159203,0.53,0.76,0.81,37.64,28.89,59.34
2000,200633,0.59,0.14,0.97,5.0,21.38,58.03
2015,38141,0.75,0.9,0.93,45.03,71.23,81.87
2007,80857,0.02,0.59,0.89,25.66,69.62,88.33
2005,120211,0.96,0.76,0.78,5.0,50.15,68.74
2008,20503,0.58,0.49,0.18,41.12,84.11,94.97
2010,50814,0.41,0.97,0.08,35.32,81.37,91.4
2014,51856,0.12,0.18,0.7,60.67,76.63,87.86
2002,78279,0.77,0.81,0.82,5.0,65.62,79.31
2014,197110,0.47,0.54,0.16,16.84,38.54,57.2
2016,107346,0.48,0.94,0.6,47.59,62.37,70.8
2017,51919,0.42,0.26,0.23,59.85,83.39,74.7
2017,29993,0.7,0.57,0.82,49.88,81.0,89.48
2005,217515,0.59,0.51,0.98,5.0,16.52,51.73
2013,206549,0.42,0.67,0.71,24.24,12.79,55.97
2013,126895,0.79,0.8,0.0,25.52,51.34,61.4
2002,158983,0.2,0.92,0.08,5.0,45.66,70.42
2005,200086,0.84,0.58,0.99,5.0,25.7,51.33
2021,191468,0.93,0.43,0.01,30.26,40.35,44.89
2016,80481,0.04,0.91,0.64,44.2,67.17,89.09
2011,223419,0.64,0.12,0.85,8.2,17.99,47.72
2011,170766,0.83,0.57,0.13,16.03,42.82,51.1
2024,21245,0.88,0.32,0.88,65.02,79.6,88.98
2005,161928,0.02,0.24,0.61,19.34,41.07,64.68
2014,100847,0.49,0.45,0.85,36.13,61.06,68.08
2015,152188,0.63,0.74,0.37,23.19,40.94,57.63
2014,162657,0.83,0.08,0.16,26.69,45.8,58.54
2022,27030,0.46,0.27,0.81,73.79,79.52,87.71
2015,212444,0.45,0.13,0.25,44.68,22.2,50.04
2016,121926,0.88,0.59,0.79,22.71,47.34,53.41
2022,140828,0.05,0.33,0.74,55.24,42.41,65.84
2016,229071,0.97,0.89,0.26,13.91,29.21,40.63
2003,48343,0.83,0.74,0.79,5.0,75.55,76.34
2004,186401,0.91,0.12,0.27,5.0,34.87,55.54
2004,34804,0.52,0.77,0.88,18.22,78.38,87.24
2013,238811,0.36,0.68,0.0,10.08,23.52,45.62
2023,29307,0.53,0.18,0.19,75.31,88.32,87.49
2014,58601,0.12,0.64,0.87,49.96,68.82,79.13
2023,178413,0.81,0.15,0.15,36.92,40.87,57.27
2023,28823,0.99,0.29,0.42,71.99,87.28,77.73
2003,10965,0.64,0.8,0.98,22.0,82.1,92.65
2006,145596,0.59,0.97,0.04,5.0,55.53,75.82
2020,3291,0.66,0.31,0.81,76.03,84.76,93.07
2009,58800,0.8,0.3,0.95,42.22,65.72,68.6
2014,192781,0.37,0.22,0.71,25.09,31.26,53.07
2011,100307,0.63,0.66,0.64,22.52,62.61,73.97
2008,40809,0.17,0.29,0.34,34.27,79.03,80.24
2010,244542,0.14,0.2,0.24,23.34,20.84,44.39
2020,135756,0.5,0.49,0.8,47.5,50.89,62.27
2017,202203,0.47,0.38,0.78,26.84,20.81,46.87
2004,168996,0.08,0.17,0.69,16.69,36.11,60.96
2019,159613,0.06,0.5,0.05,51.22,41.95,67.29
2016,141592,0.94,0.53,0.85,13.0,38.76,65.18
2017,227189,0.2,0.35,0.61,28.28,19.95,47.97
2005,10597,0.18,0.76,0.93,25.86,82.02,98.4
2022,117305,0.18,0.51,0.67,55.88,52.01,68.67
2002,98591,0.46,0.31,0.99,5.0,63.95,74.6
2011,174414,0.61,0.88,0.74,13.59,33.38,59.64
2010,8642,0.89,0.74,0.06,34.71,92.63,87.25
2007,62495,0.07,0.29,0.63,36.7,75.98,83.9
2016,94865,0.68,0.47,0.36,36.86,58.68,79.1
2023,56497,0.89,0.08,0.29,55.93,74.84,87.39
2018,27200,0.35,0.29,0.79,74.52,78.82,91.85
2003,98517,0.52,0.15,0.04,19.32,65.63,79.31
2013,44049,0.03,0.11,0.19,53.9,89.67,96.1
2020,169638,0.63,0.78,0.32,34.57,39.7,52.38
2005,80536,0.93,0.01,0.41,17.8,66.86,77.19
2021,147866,0.42,0.31,0.56,45.07,37.29,65.89
2008,221826,0.62,0.67,0.24,6.34,24.41,52.24
2018,23377,0.8,0.1,0.73,59.18,80.14,94.89
2018,215263,0.06,0.58,0.29,40.09,27.1,60.04
2001,148605,0.54,0.42,0.65,5.0,51.38,61.09
2000,117792,0.1,0.55,0.17,5.0,55.42,76.79
2021,68816,0.76,0.98,0.02,58.73,70.97,78.67
2010,189749,0.48,0.23,0.7,18.79,30.32,55.69
2019,133187,0.79,0.1,0.25,49.02,54.56,68.13
2024,13317,0.85,0.36,0.81,71.24,90.87,86.03
2017,3170,0.23,0.11,0.79,78.29,86.55,100.0
2013,96010,0.97,0.17,0.45,22.67,57.5,66.93
2015,91180,0.98,0.81,0.76,36.2,62.29,63.02
2022,111263,0.38,0.58,0.49,62.23,59.82,75.61
2020,150253,0.37,0.58,0.29,50.78,43.03,70.31
2017,139320,0.01,0.7,0.89,44.52,43.3,73.92
2010,188182,0.93,0.6,0.29,5.0,36.53,49.42
2010,46785,0.27,0.15,0.43,50.24,85.97,92.72
2021,161738,0.31,0.53,0.64,43.12,41.59,69.35
2022,67131,0.02,0.31,0.92,77.24,65.98,75.48
2017,128671,0.56,0.91,0.94,25.07,47.4,74.23
2024,4216,0.43,0.98,0.23,71.24,91.5,96.92
2022,131206,0.45,0.11,0.69,59.85,46.74,60.45
2019,108957,0.74,0.83,0.66,44.18,63.93,64.73
2010,72755,0.33,0.86,0.02,27.81,75.46,80.91
2003,105737,0.41,0.46,0.64,11.0,58.12,77.25
2019,248628,0.55,0.1,0.21,27.26,13.02,37.89
2003,113698,0.62,0.74,0.71,5.0,53.21,72.79
2014,221308,0.57,0.6,0.09,17.69,30.22,54.16
2006,177132,0.69,0.1,0.67,8.97,25.28,61.09
2010,78029,0.53,0.2,0.39,41.14,60.98,76.97
2017,199728,0.13,0.25,0.01,42.71,34.28,50.77
2002,223825,0.55,0.73,0.27,5.0,16.11,53.22
2020,35390,0.32,0.64,0.92,64.0,74.16,89.91
2017,76303,0.03,0.93,0.11,57.33,65.81,82.97
2007,57178,0.03,0.91,0.82,39.01,80.88,87.36
2018,48910,0.78,0.55,0.3,51.47,66.92,77.28
2000,8345,0.35,0.73,0.58,15.55,91.24,91.79
2000,232753,0.03,0.86,0.38,5.0,20.72,45.38
2020,51972,0.9,0.34,0.33,52.39,74.83,77.34
2000,168053,0.07,0.57,0.84,5.0,30.37,72.33
2002,106913,0.39,0.5,0.12,5.0,63.75,70.26
2003,7600,0.59,0.16,0.66,22.01,84.72,90.82
2019,64753,0.69,0.03,0.56,58.25,72.98,82.52
2021,113060,0.8,0.37,0.53,53.82,52.68,71.46
2004,94717,0.07,0.18,0.67,28.64,66.64,90.49
2017,91600,0.44,0.16,0.74,51.05,64.56,81.26
2018,13769,0.48,0.28,0.78,59.52,80.38,92.77
2001,151626,0.85,0.36,0.69,5.0,38.27,56.74
2016,198211,0.25,0.72,0.86,36.33,19.48,54.44
2006,71786,0.79,0.2,0.39,15.59,68.75,76.13
2010,11400,0.9,0.8,0.17,29.52,99.68,88.66
2023,186404,0.77,0.65,0.96,34.44,29.33,51.34
2003,85935,0.7,0.25,0.7,5.0,63.86,76.62
2021,137769,0.19,0.36,0.28,64.1,50.73,76.58
2015,52315,0.91,0.45,0.43,37.8,81.03,83.85
2024,225873,0.15,0.03,0.66,52.97,10.26,53.23
2014,158781,0.64,0.82,0.9,27.45,29.42,57.55
2010,4174,0.25,0.02,0.74,52.25,81.69,100.0
2020,23834,0.4,0.4,0.14,77.47,84.84,88.2
2013,101428,0.91,0.58,0.98,29.32,58.34,73.01
2008,101458,0.47,0.02,0.52,30.07,62.29,70.75
2015,4619,0.68,0.13,0.06,57.2,100.0,88.35
2006,166776,0.06,0.14,0.58,23.42,34.36,72.39
2017,13019,0.72,0.82,0.64,60.02,81.25,92.57
2010,28559,0.61,0.05,0.85,39.5,78.44,83.26
2023,54389,0.51,0.16,0.99,74.79,62.46,85.04
2004,55859,0.89,0.75,0.23,8.23,90.53,77.07
2019,96485,0.67,0.29,0.81,54.62,49.9,65.67
2022,51460,0.17,0.32,0.1,71.41,85.65,85.12
2016,14294,0.25,0.48,0.08,60.17,93.65,97.65
2015,224309,0.08,0.67,0.09,20.43,39.96,58.58
2015,67163,0.24,0.08,0.57,60.21,70.69,85.75
2014,73941,0.97,0.42,0.44,25.32,73.3,76.0
2018,54542,0.0,0.78,0.75,59.21,72.68,88.92
2010,208381,0.22,0.37,0.72,16.06,19.57,46.71
2006,199048,0.86,0.75,0.36,5.0,31.77,44.95
2008,232989,0.63,0.11,0.46,5.0,21.83,52.44
2010,62915,0.72,0.87,0.58,24.41,70.31,72.92
2004,123427,0.94,0.53,0.69,5.0,49.58,72.48
2023,228393,0.08,0.29,0.56,51.2,13.09,52.24
2019,224712,0.47,0.15,0.12,43.74,9.7,53.6
2004,248196,0.63,0.53,0.48,5.0,19.36,46.29
2013,121066,0.46,0.43,0.31,30.59,49.4,72.64
2014,151313,0.37,0.89,0.24,33.34,35.55,64.1
2016,47651,0.54,0.59,0.75,9.79,73.96,83.08
2014,223677,0.01,0.06,0.25,30.96,23.7,55.99
2008,206535,0.45,0.31,0.89,6.4,30.86,53.81
2024,53322,0.08,0.24,0.32,85.66,68.82,85.24
2021,238906,0.83,0.03,0.76,25.19,13.15,43.09
2002,118431,0.24,0.6,0.4,7.52,61.6,81.96
2023,94755,0.17,0.11,0.84,74.09,62.69,91.06
2023,192413,0.2,0.66,0.4,54.68,34.39,61.38
2019,13273,0.74,0.38,0.04,63.01,94.13,89.12
2018,114015,0.47,0.46,0.35,48.55,55.89,63.65
2010,64991,0.2,0.76,0.27,34.58,79.95,87.35
2021,19897,0.57,0.89,0.7,55.39,81.71,88.57
2021,241404,0.37,0.41,0.56,24.91,15.34,53.23
2016,184192,0.04,0.67,0.27,33.51,37.37,71.34
2010,109737,0.03,0.57,0.56,35.64,59.81,78.48
2009,98312,0.8,0.45,0.59,27.22,59.63,74.25
2016,244589,0.4,0.33,0.01,23.01,23.48,39.87
2017,184143,0.81,0.14,0.27,28.64,29.3,57.78
2006,127248,0.76,0.88,0.61,5.0,45.92,67.91
2018,103030,0.3,0.0,0.62,7.53,56.33,71.78
2017,246824,0.56,0.53,0.18,21.68,26.5,46.44
2013,40144,0.51,0.7,0.31,53.22,83.04,78.89
2019,72253,0.49,0.16,0.69,53.93,64.3,93.52
2007,247945,0.29,0.91,0.93,5.0,5.0,42.7
2016,184755,0.19,0.97,0.85,31.61,32.33,62.3
2001,6329,0.01,0.21,0.63,37.09,90.66,100.0
2010,183028,0.56,0.26,0.47,16.46,30.74,66.35
2013,180783,0.27,0.53,0.82,34.22,32.98,53.82
2017,26373,0.99,0.58,0.39,52.17,84.47,84.26
2003,180528,0.4,0.47,0.84,5.0,28.62,65.71
2004,67694,0.9,0.38,0.38,5.0,75.23,74.08
2023,144684,0.17,0.47,0.03,57.16,52.76,74.1
2007,31943,0.65,0.51,0.28,18.04,90.36,86.64
2008,167791,0.77,0.99,0.43,5.68,36.73,58.17
2017,134301,0.69,0.75,0.22,30.37,51.71,65.63
2006,159191,0.01,0.08,0.17,15.69,43.35,66.06
2006,138312,0.26,0.38,0.83,24.49,51.19,66.5
2022,161621,0.52,0.52,0.22,44.77,45.35,63.54
2004,162273,0.19,0.91,0.61,5.0,42.21,60.67
2015,42195,0.58,0.05,0.2,57.19,79.39,76.38
2022,2294,0.31,0.74,0.7,76.41,81.53,96.74
2018,92094,0.55,0.71,0.57,42.96,63.47,79.4
2010,176410,0.17,0.73,0.05,25.84,40.27,58.65
2023,119601,0.31,0.8,0.7,56.06,53.53,83.14
2011,153402,0.22,0.34,0.48,25.72,45.88,71.84
2012,127730,0.66,0.53,0.86,29.45,50.8,73.35
2003,127255,0.04,0.37,0.99,17.8,45.63,78.42
2015,62640,0.71,0.41,0.21,45.06,83.7,74.09
2004,202499,0.55,0.9,0.19,5.0,33.67,52.47
2011,51785,0.94,0.43,0.55,36.03,81.5,87.71
2018,133214,0.71,0.42,0.74,40.58,52.88,70.43
2015,19492,0.65,0.05,0.27,67.41,87.23,90.82
2003,25106,0.97,0.71,0.76,19.0,82.46,84.48
2020,22931,0.05,0.14,0.4,70.04,90.83,100.0
2024,48769,0.97,0.94,0.1,60.96,76.72,83.39
2003,158031,0.74,0.36,0.15,5.0,53.86,55.06
2000,100848,0.57,0.37,0.94,5.0,49.6,70.73
2007,216755,0.27,0.07,0.6,9.97,20.16,52.02
2022,135355,0.55,0.04,0.66,44.71,45.75,64.27
2009,235063,0.46,0.13,0.68,5.0,5.0,52.49
2002,169370,0.84,0.64,0.44,5.0,28.09,55.69
2006,92877,0.34,0.04,0.12,27.75,68.18,74.27
2004,138765,0.1,0.62,0.46,15.76,57.27,69.81
2010,40317,0.17,0.63,0.28,44.36,87.78,92.44
2012,180449,0.85,0.31,0.78,21.38,29.48,56.16
2006,138466,0.56,0.54,0.46,15.84,45.58,60.35
2003,162703,0.46,0.44,0.99,5.0,39.11,61.68
2021,75506,0.94,0.87,0.84,42.71,63.19,73.48
2010,244587,0.42,0.25,0.1,20.94,18.73,45.98
2002,96921,0.36,0.88,0.93,12.46,55.81,79.64
2014,235274,0.36,0.83,0.6,9.99,24.39,51.89
2019,231780,0.4,0.17,0.62,29.92,20.0,47.51
2008,2701,0.9,0.41,0.95,38.86,89.74,97.18
2000,128132,0.7,0.37,0.49,5.0,55.52,67.86
2006,218607,0.91,0.52,0.86,5.0,19.27,48.83
2001,180694,0.69,0.92,0.51,5.0,27.69,63.98
2002,38027,0.98,0.09,0.97,14.65,82.25,79.25
2002,243147,0.49,0.28,0.45,5.0,13.24,37.68
2016,126413,0.53,0.48,0.27,38.26,54.28,61.72
2019,222559,0.87,0.6,0.48,24.51,16.18,61.8
2003,78239,0.45,0.8,0.98,12.54,56.93,76.53
2009,167674,0.73,0.72,0.26,5.0,35.42,64.28
2007,142299,0.48,0.51,0.69,14.47,41.23,71.04
2008,216846,0.68,0.68,0.09,5.0,19.42,53.1
2004,44923,0.49,0.16,0.03,25.12,84.3,80.5
2008,176530,0.8,0.28,0.87,10.83,27.99,63.72
2008,60247,0.86,0.62,0.92,10.75,75.47,70.7
2003,245439,0.13,0.71,0.32,5.0,18.1,47.53
2005,125152,0.45,0.5,0.27,14.69,62.03,75.1
2005,82160,0.3,0.94,0.77,25.59,63.26,86.0
2023,43648,0.63,0.39,0.24,60.71,86.94,72.57
2018,96119,0.34,0.35,0.39,64.26,63.27,83.71
2020,176471,0.89,0.94,0.06,32.68,39.23,53.55
2012,669,0.93,0.36,0.53,48.56,87.04,88.94
2010,35322,0.27,0.46,0.64,40.7,76.54,83.86
2011,225680,0.84,0.24,0.47,5.0,20.65,46.6
2014,48649,0.91,0.14,0.36,44.45,81.38,84.32
2021,91365,0.2,0.75,0.9,56.04,60.91,74.23
2012,237944,0.48,0.94,0.11,7.48,24.77,47.16
2009,18679,0.47,0.9,0.41,38.46,80.07,97.17
2007,22450,0.18,0.0,0.09,55.81,89.22,100.0
2005,178991,0.32,0.79,0.45,5.0,27.83,62.67
2016,87978,0.86,0.25,0.05,33.45,67.2,78.61
2005,95435,0.21,0.32,0.23,30.17,67.58,71.71
2008,131725,0.43,0.75,0.67,22.96,59.78,65.29
2014,176962,0.21,0.09,0.18,31.95,35.63,69.02
2020,41020,0.52,0.03,0.87,61.65,74.99,86.3
2021,93891,0.82,0.35,0.13,46.89,63.61,71.04
2002,125234,0.41,0.29,0.84,9.81,53.24,70.31
2023,211316,0.53,0.16,0.21,43.21,34.95,58.58
2016,167412,0.54,0.48,0.1,34.38,35.38,68.02
2007,150440,0.16,0.24,0.62,41.11,46.08,62.05
2010,176817,0.46,0.08,0.13,5.0,36.84,58.56
2017,168166,0.3,0.79,0.81,36.3,29.22,69.61
2019,14386,0.33,0.87,0.0,56.2,86.88,96.57
2015,179087,0.19,0.82,0.31,27.23,44.14,62.01
2014,191979,0.17,0.71,0.97,36.0,23.11,60.8
2006,100028,0.94,0.41,0.93,7.91,52.63,72.32
2004,103316,0.48,0.23,0.51,22.91,52.58,76.4
2010,217731,0.36,0.74,0.12,15.8,25.95,44.63
2017,192709,0.32,0.38,0.5,35.59,34.88,54.23
2012,29764,0.11,0.18,0.42,57.73,81.97,96.33
2002,99198,0.61,0.52,0.13,5.0,55.28,79.37
2019,130101,0.91,0.98,0.58,32.07,49.2,67.81
2000,16624,0.6,0.53,0.35,12.18,83.01,89.27
2016,240191,0.49,0.09,0.15,16.61,19.13,40.29
2003,81039,0.99,0.41,0.33,7.75,68.0,63.64
2019,50696,0.41,0.77,0.18,60.78,85.24,83.95
2018,164081,0.19,0.03,0.94,57.17,35.09,65.2
2022,178330,0.56,0.17,0.48,48.73,37.79,63.36
2006,199696,0.32,0.5,0.14,5.0,26.05,56.39
2013,41213,0.93,0.47,0.83,34.57,68.58,75.95
2017,238870,0.85,0.98,0.36,5.08,17.86,47.11
2008,82673,0.0,0.21,0.7,41.32,64.96,86.48
2008,65091,0.93,0.89,0.48,17.13,74.31,80.25
2021,109148,0.92,0.56,0.87,46.74,56.75,74.33
2007,59697,0.74,0.93,0.59,22.67,66.53,87.58
2019,164314,0.89,0.7,0.36,24.99,42.78,53.84
2005,61798,0.77,0.33,0.97,17.84,71.37,80.97
2005,114013,0.7,0.75,0.39,7.58,57.87,63.63
2019,199557,0.86,0.75,0.65,18.92,27.41,54.13
2009,19090,0.94,0.51,0.51,28.44,87.6,95.28
2007,71982,0.21,0.71,0.19,31.3,74.08,87.44
2016,69075,0.33,0.1,0.3,64.63,67.98,89.92
2002,157537,0.96,0.24,0.59,5.0,35.41,56.11
2015,95255,0.85,0.57,0.25,31.62,65.14,76.31
2020,24898,0.8,0.18,0.46,54.55,91.84,92.85
2014,61729,0.88,0.46,0.66,33.47,76.9,84.4
